rule_name,description,benchmark,gpt_answer,gpt_configuration,tag,gpt_Js_each_rule_map
3.3.3 goog.module Exports,"Classes, enums, functions, constants, and other symbols are exported using the `exports` object. Exported symbols may be defined directly on the `exports` object, or else declared locally and exported separately. Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.
Examples:
const /** !Array<number> */ exportedArray = [1, 2, 3];

const /** !Array<number> */ moduleLocalArray = [4, 5, 6];

/** @return {number} */
function moduleLocalFunction() {
  return moduleLocalArray.length;
}

/** @return {number} */
function exportedFunction() {
  return moduleLocalFunction() * 2;
}

exports = {exportedArray, exportedFunction};

/** @const {number} */
exports.CONSTANT_ONE = 1;

/** @const {string} */
exports.CONSTANT_TWO = 'Another constant';

Do not annotate the `exports` object as `@const` as it is already treated as a constant by the compiler.
/** @const */
exports = {exportedFunction};","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"None

None

None

RuleName: no-underscore-dangle;
Set Values for related option values:
allow: [];
allowAfterThis: false;
allowAfterSuper: false;
allowAfterThisConstructor: false;
enforceInMethodNames: true;
enforceInClassFields: true;
allowInArrayDestructuring: false;
allowInObjectDestructuring: false;
allowFunctionParams: false;

None

None"
3.4.1 Imports,Import statements must not be line wrapped and are therefore an exception to the 80-column limit.,"[{'max-len': ['error', {'code': 80, 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]}, {'max-len': ['error', {'code': 80, 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]}]",Yes,"{'max-len': ['error', {'code': 80, 'ignorePattern': '^import\\s.+\\sfrom\\s.+;$'}]}",valid config part,"RuleName: max-len;
Option Rule: code, 80;
Option Rule: ignorePattern, '^import\\s.+\\sfrom\\s.+;$';
Set Values for related option values:
code, 80;
ignorePattern, '^import\\s.+\\sfrom\\s.+;$';"
3.4.1.1 Import paths,"ES module files must use the `import` statement to import other ES module files. Do not `goog.require` another ES module.
import './sideeffects.js';

import * as goog from '../closure/goog/goog.js';
import * as parent from '../parent.js';

import {name} from './sibling.js';
","[{'no-restricted-syntax': [{'selector': 'CallExpression[callee.object.name=""goog""][callee.property.name=""require""]', 'message': 'OurSetDefault'}]}, {'no-restricted-syntax': [{'selector': 'CallExpression[callee.object.name=""goog""][callee.property.name=""require""]', 'message': 'OurSetDefault'}]}]",Yes,"{'no-restricted-syntax': ['error', {'selector': ""CallExpression[callee.name='goog'][callee.property.name='require']"", 'message': 'goog.require is not allowed in ESModules'}]}",valid config part,"```plaintext
RuleName: no-restricted-syntax;
Option Rule: No OptionName, [""CallExpression[callee.name='goog.require']""];
Set Values for related option values:
selector, ""CallExpression[callee.name='goog.require']"";
message, ""Use ESModule import statements instead of goog.require."";
```"
3.4.1.1.1 File extensions in import paths,"The `.js` file extension is not optional in import paths and must always be included.
import '../directory/file';

import '../directory/file.js';
","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"```plaintext
RuleName: import/extensions;
Option Rule: extensions, ['.js'];
Option Rule: always, true;
Set Values for related option values:
extensions, ['.js'];
always, true;
```"
3.4.1.2 Importing the same file multiple times,"Do not import the same file multiple times. This can make it hard to determine the aggregate imports of a file.
// Imports have the same path, but since it doesn't align it can be hard to see.
import {short} from './long/path/to/a/file.js';
import {aLongNameThatBreaksAlignment} from './long/path/to/a/file.js';
","[{'no-duplicate-imports': ['error', {'includeExports': False}]}, {'no-duplicate-imports': ['error', {'includeExports': False}]}]",Yes,"{'no-duplicate-imports': ['error', {'includeExports': True}]}",valid config part,"RuleName: no-duplicate-imports;
Set Values for related option values:
includeExports: false;"
3.4.1.3.1 Naming module imports,"Module import names ( `import*asname` ) are `lowerCamelCase` names that are derived from the imported file name.
import * as fileOne from '../file-one.js';
import * as fileTwo from '../file_two.js';
import * as fileThree from '../filethree.js';

import * as libString from './lib/string.js';
import * as math from './math/math.js';
import * as vectorMath from './vector/math.js';
","[{'camelcase': ['error', {'ignoreImports': False}]}, {'camelcase': ['error', {'properties': 'OurSetDefault', 'ignoreDestructuring': 'OurSetDefault', 'ignoreImports': False, 'ignoreGlobals': 'OurSetDefault', 'allow': 'OurSetDefault'}]}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"```plaintext
RuleName: id-match;
Option Rule: onlyDeclarations, true;
Set Values for related option values:
onlyDeclarations, true;

None
```"
3.4.1.3.2 Naming default imports,"Default import names are derived from the imported file name and follow the rules in ?? .
import MyClass from '../my-class.js';
import myFunction from '../my_function.js';
import SOME_CONSTANT from '../someconstant.js';

Note: In general this should not happen as default exports are banned by this style guide, see ?? . Default imports are only used to import modules that do not conform to this style guide.","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
3.4.1.3.3 Naming named imports,"In general symbols imported via the named import ( `import{name}` ) should keep the same name. Avoid aliasing imports ( `import{SomeThingasSomeOtherThing}` ). Prefer fixing name collisions by using a module import ( `import*` ) or renaming the exports themselves.
import * as bigAnimals from './biganimals.js';
import * as domesticatedAnimals from './domesticatedanimals.js';

new bigAnimals.Cat();
new domesticatedAnimals.Cat();

If renaming a named import is needed then use components of the imported module's file name or path in the resulting alias.
import {Cat as BigCat} from './biganimals.js';
import {Cat as DomesticatedCat} from './domesticatedanimals.js';

new BigCat();
new DomesticatedCat();
","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"RuleName: no-useless-rename;
Option Rule: ignoreImport, true;
Set Values for related option values:
ignoreImport: true;

RuleName: no-useless-rename;
Set Values for related option values:
ignoreImport: false;

RuleName: no-useless-rename;
Option Rule: ignoreImport, true;
Option Rule: ignoreExport, true;
Set Values for related option values:
ignoreImport: true;
ignoreExport: true;

RuleName: no-useless-rename;
Option Rule: ignoreImport, true;
Set Values for related option values:
ignoreImport: true;"
3.4.2 Exports,Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.,"[{}, {}]",No,"{
  ""Answer"": ""No"",
  ""Configuration"": {}
}",y_or_n is not Yes,"RuleName: no-unused-vars;
Set Values for related option values:
vars: all;

None

RuleName: sort-keys;
Option Rule: allowLineSeparatedGroups, true;
Set Values for related option values:
allowLineSeparatedGroups: true;"
3.4.2.1 Named vs default exports,"Use named exports in all code. You can apply the `export` keyword to a declaration, or use the `export{name};` syntax.
Do not use default exports. Importing modules must give a name to these values, which can lead to inconsistencies in naming across modules.
// Do not use default exports:
export default class Foo { ... } // BAD!

// Use named exports:
export class Foo { ... }

// Alternate style named exports:
class Foo { ... }

export {Foo};
","[{'no-restricted-exports': [{'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': True, 'named': False, 'defaultFrom': True, 'namedFrom': False, 'namespaceFrom': True}}]}, {'no-restricted-exports': [{'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': True, 'named': False, 'defaultFrom': True, 'namedFrom': False, 'namespaceFrom': True}}]}]",Yes,"{'no-restricted-exports': ['error', {'restrictDefaultExports': {'direct': True}}]}",valid config part,"None

RuleName: no-restricted-exports;
Option Rule: restrictDefaultExports, direct: true;
Set Values for related option values:
direct: true;

RuleName: no-restricted-exports;
Option Rule: restrictDefaultExports, named: true;
Set Values for related option values:
named: true;

RuleName: no-restricted-exports;
Option Rule: restrictDefaultExports, named: true;
Set Values for related option values:
named: true;"
3.4.2.2 Exporting static container classes and objects,"Do not export container classes or objects with static methods or properties for the sake of namespacing.
// container.js
// Bad: Container is an exported class that has only static methods and fields.
export class Container {
  /** @return {number} */
  static bar() {
    return 1;
  }
}

/** @const {number} */
Container.FOO = 1;

Instead, export individual constants and functions:
/** @return {number} */
export function bar() {
  return 1;
}

export const /** number */ FOO = 1;","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"RuleName: no-restricted-exports;
Set Values for related option values:
restrictedNamedExports: [""ContainerClass"", ""ObjectWithStaticMethod"", ""StaticProperty""];

None"
3.4.2.3 Mutability of exports,"Exported variables must not be mutated outside of module initialization.
There are alternatives if mutation is needed, including exporting a constant reference to an object that has mutable fields or exporting accessor functions for mutable data.
// Bad: both foo and mutateFoo are exported and mutated.
export let /** number */ foo = 0;

/**
 * Mutates foo.
 */
export function mutateFoo() {
  ++foo;
}

/**
 * @param {function(number): number} newMutateFoo
 */
export function setMutateFoo(newMutateFoo) {
  // Exported classes and functions can be mutated!
  mutateFoo = () => {
    foo = newMutateFoo(foo);
  };
}

// Good: Rather than export the mutable variables foo and mutateFoo directly,
// instead make them module scoped and export a getter for foo and a wrapper for
// mutateFooFunc.
let /** number */ foo = 0;
let /** function(number): number */ mutateFooFunc = foo => foo + 1;

/** @return {number} */
export function getFoo() {
  return foo;
}

export function mutateFoo() {
  foo = mutateFooFunc(foo);
}

/** @param {function(number): number} mutateFoo */
export function setMutateFoo(mutateFoo) {
  mutateFooFunc = mutateFoo;
}","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
3.4.2.4 export from,"`exportfrom` statements must not be line wrapped and are therefore an exception to the 80-column limit. This applies to both `exportfrom` flavors.
export {specificName} from './other.js';
export * from './another.js';","[{'max-len': ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]}, {'max-len': ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]}]",Yes,"{'max-len': ['error', {'ignorePattern': 'export\\s+from\\s+'}]}",valid config part,None
3.4.3 Circular Dependencies in ES modules,"Do not create cycles between ES modules, even though the ECMAScript specification allows this. Note that it is possible to create cycles with both the `import` and `export` statements.
// a.js
import './b.js';

// b.js
import './a.js';

// `export from` can cause circular dependencies too!
export {x} from './c.js';

// c.js
import './b.js';

export let x;
","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
3.4.4.1 Referencing goog,"To reference the Closure `goog` namespace, import Closure's `goog.js` .
import * as goog from '../closure/goog/goog.js';

const name = goog.require('a.name');

export const CONSTANT = name.compute();

`goog.js` exports only a subset of properties from the global `goog` that can be used in ES modules.","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
3.4.4.2 goog.require in ES modules,"`goog.require` in ES modules works as it does in `goog.module` files. You can require any Closure namespace symbol (i.e., symbols created by `goog.provide` or `goog.module` ) and `goog.require` will return the value.
import * as goog from '../closure/goog/goog.js';
import * as anEsModule from './anEsModule.js';

const GoogPromise = goog.require('goog.Promise');
const myNamespace = goog.require('my.namespace');
","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"```plaintext
RuleName: curly
Set Values for related option values: 
all: true
```"
3.4.4.3 Declaring Closure Module IDs in ES modules,"`goog.declareModuleId` can be used within ES modules to declare a `goog.module` -like module ID. This means that this module ID can be `goog.require` d, `goog.module.get` d, `goog.forwardDeclare` 'd, etc. as if it were a `goog.module` that did not call `goog.module.declareLegacyNamespace` . It does not create the module ID as a globally available JavaScript symbol.
A `goog.require` (or `goog.module.get` ) for a module ID from `goog.declareModuleId` will always return the module object (as if it was `import*` 'd). As a result, the argument to `goog.declareModuleId` should always end with a `lowerCamelCaseName` .
Note: It is an error to call `goog.module.declareLegacyNamespace` in an ES module, it can only be called from `goog.module` files. There is no direct way to associate a legacy namespace with an ES module.
`goog.declareModuleId` should only be used to upgrade Closure files to ES modules in place, where named exports are used.
import * as goog from '../closure/goog.js';

goog.declareModuleId('my.esm');

export class Class {};
","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"None

RuleName: camelcase;
Option Rule: properties, always;
Option Rule: ignoreDestructuring, false;
Option Rule: ignoreImports, false;
Option Rule: ignoreGlobals, false;
Set Values for related option values:
allow, [];"
3.5 goog.setTestOnly,"In a `goog.module` file the `goog.module` statement may optionally be followed by a call to `goog.setTestOnly()` .
In an ES module the `import` statements may optionally be followed by a call to `goog.setTestOnly()` .","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
3.6 goog.require and goog.requireType statements,"Imports are done with `goog.require` and `goog.requireType` statements. The names imported by a `goog.require` statement may be used both in code and in type annotations, while those imported by a `goog.requireType` may be used in type annotations only.
The `goog.require` and `goog.requireType` statements form a contiguous block with no empty lines. This block follows the `goog.module` declaration separated by a single empty line . The entire argument to `goog.require` or `goog.requireType` is a namespace defined by a `goog.module` in a separate file. `goog.require` and `goog.requireType` statements may not appear anywhere else in the file.
Each `goog.require` or `goog.requireType` is assigned to a single constant alias, or else destructured into several constant aliases. These aliases are the only acceptable way to refer to dependencies in type annotations or code. Fully qualified namespaces must not be used anywhere, except as an argument to `goog.require` or `goog.requireType` .
Exception : Types, variables, and functions declared in externs files have to use their fully qualified name in type annotations and code.
Aliases must match the final dot-separated component of the imported module's namespace.
Exception : In certain cases, additional components of the namespace can be used to form a longer alias. The resulting alias must retain the original identifier's casing such that it still correctly identifies its type. Longer aliases may be used to disambiguate otherwise identical aliases, or if it significantly improves readability. In addition, a longer alias must be used to prevent masking native types such as `Element` , `Event` , `Error` , `Map` , and `Promise` (for a more complete list, see Standard Built-in Objects and Web
APIs at MDN). When renaming destructured aliases, a space must follow the colon as required in ?? .
A file should not contain both a `goog.require` and a `goog.requireType` statement for the same namespace. If the imported name is used both in code and in type annotations, it should be imported by a single `goog.require` statement.
If a module is imported only for its side effects, the call must be a `goog.require` (not a `goog.requireType` ) and assignment may be omitted. A comment is required to explain why this is needed and suppress a compiler warning.
The lines are sorted according to the following rules: All requires with a name on the left hand side come first, sorted alphabetically by those names. Then destructuring requires, again sorted by the names on the left hand side. Finally, any require calls that are standalone (generally these are for modules imported just for their side effects).
Tip: There¡¯s no need to memorize this order and enforce it manually. You can rely on your IDE to report requires that are not sorted correctly.
If a long alias or module name would cause a line to exceed the 80-column limit, it must not be wrapped: require lines are an exception to the 80-column limit.
Example:
// Standard alias style.
const MyClass = goog.require('some.package.MyClass');
const MyType = goog.requireType('some.package.MyType');
// Namespace-based alias used to disambiguate.
const NsMyClass = goog.require('other.ns.MyClass');
// Namespace-based alias used to prevent masking native type.
const RendererElement = goog.require('web.renderer.Element');
// Out of sequence namespace-based aliases used to improve readability.
// Also, require lines longer than 80 columns must not be wrapped.
const SomeDataStructureModel = goog.requireType('identical.package.identifiers.models.SomeDataStructure');
const SomeDataStructureProto = goog.require('proto.identical.package.identifiers.SomeDataStructure');
// Standard alias style.
const asserts = goog.require('goog.asserts');
// Namespace-based alias used to disambiguate.
const testingAsserts = goog.require('goog.testing.asserts');
// Standard destructuring into aliases.
const {clear, clone} = goog.require('goog.array');
const {Rgb} = goog.require('goog.color');
// Namespace-based destructuring into aliases in order to disambiguate.
const {SomeType: FooSomeType} = goog.requireType('foo.types');
const {clear: objectClear, clone: objectClone} = goog.require('goog.object');
// goog.require without an alias in order to trigger side effects.
/** @suppress {extraRequire} Initializes MyFramework. */
goog.require('my.framework.initialization');

Discouraged:
// If necessary to disambiguate, prefer PackageClass over SomeClass as it is
// closer to the format of the module name.
const SomeClass = goog.require('some.package.Class');

Disallowed:
// Extra terms must come from the namespace.
const MyClassForBizzing = goog.require('some.package.MyClass');
// Alias must include the entire final namespace component.
const MyClass = goog.require('some.package.MyClassForBizzing');
// Alias must not mask native type (should be `const JspbMap` here).
const Map = goog.require('jspb.Map');
// Don't break goog.require lines over 80 columns.
const SomeDataStructure =
    goog.require('proto.identical.package.identifiers.SomeDataStructure');
// Alias must be based on the namespace.
const randomName = goog.require('something.else');
// Missing a space after the colon.
const {Foo:FooProto} = goog.require('some.package.proto.Foo');
// goog.requireType without an alias.
goog.requireType('some.package.with.a.Type');


/**
 * @param {!some.unimported.Dependency} param All external types used in JSDoc
 *     annotations must be goog.require'd, unless declared in externs.
 */
function someFunction(param) {
  // goog.require lines must be at the top level before any other code.
  const alias = goog.require('my.long.name.alias');
  // ...
}","[{'max-len': 'error'}, {'max-len': ['error', {'code': 80, 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}], 'key-spacing': [{'beforeColon': 'OurSetDefault', 'afterColon': True, 'mode': 'OurSetDefault', 'align': {}, 'multiLine': {}}]}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

None

RuleName: key-spacing;
Set Values for related option values:
afterColon: true;

None

None

None

None

RuleName: sort-imports;
Set Values for related option values:
ignoreDeclarationSort: false;
ignoreMemberSort: false;

RuleName: max-len;
Set Values for related option values:
code: 80;"
4.1.1 Braces are used for all control structures,"Braces are required for all control structures (i.e. `if` , `else` , `for` , `do` , `while` , as well as any others), even if the body contains only a single statement. The first statement of a non-empty block must begin on its own line.
Disallowed:
if (someVeryLongCondition())
  doSomething();

for (let i = 0; i < foo.length; i++) bar(foo[i]);

Exception : A simple if statement that can fit entirely on a single line with no wrapping (and that doesn¡¯t have an else) may be kept on a single line with no braces when it improves readability. This is the only case in which a control structure may omit braces and newlines.
if (shortCondition()) foo();","[{'curly': ['error', 'multi-line']}, {'curly': ['error', 'multi-line']}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"```plaintext
RuleName: curly;
Set Values for related option values:
all: only give matching value;

None

RuleName: nonblock-statement-body-position;
Option Rule: position, beside;
Set Values for related option values:
position: beside;
```"
4.1.2 Nonempty blocks: K&R style,"Braces follow the Kernighan and Ritchie style ( 
Egyptian brackets 
) for nonempty blocks and block-like constructs:
No line break before the opening brace. 
Line break after the opening brace. 
Line break before the closing brace. 
Line break after the closing brace if that brace terminates a statement or the body of a function or class statement, or a class method. Specifically, there is no line break after the brace if it is followed by `else` , `catch` , `while` , or a comma, semicolon, or right-parenthesis.
Example:
class InnerClass {
  constructor() {}

  /** @param {number} foo */
  method(foo) {
    if (condition(foo)) {
      try {
        // Note: this might fail.
        something();
      } catch (err) {
        recover();
      }
    }
  }
}
","[{'brace-style': ['error', '1tbs']}, {'brace-style': ['error', '1tbs', {'allowSingleLine': 'OurSetDefault'}]}]",Yes,"{'brace-style': ['error', '1tbs']}",valid config part,"RuleName: brace-style;
Set Values for related option values:
1tbs;

RuleName: brace-style;
Set Values for related option values:
1tbs;

RuleName: brace-style;
Set Values for related option values:
allman;

RuleName: brace-style;
Set Values for related option values:
allman;

RuleName: brace-style;
Set Values for related option values:
stroustrup;"
4.1.3 Empty blocks: may be concise,"An empty block or block-like construct may be closed immediately after it is opened, with no characters, space, or line break in between (i.e. `{}` ), unless it is a part of a multi-block statement (one that directly contains multiple blocks: `if` / `else` or `try` / `catch` / `finally` ).
Example:
function doNothing() {}

Disallowed:
if (condition) {
  // ¡­
} else if (otherCondition) {} else {
  // ¡­
}

try {
  // ¡­
} catch (e) {}
","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
4.2 Block indentation: +2 spaces,"Each time a new block or block-like construct is opened, the indent increases by two spaces. When the block ends, the indent returns to the previous indent level. The indent level applies to both code and comments throughout the block. (See the example in ?? ).","[{'indent': ['error', 2, {'ignoreComments': False}]}, {'indent': ['error', 2, {'ignoreComments': False}]}]",Yes,"{'indent': ['error', 2, {'ignoreComments': False}]}",valid config part,"RuleName: indent;
Set Values for related option values:
2, 2;

None

RuleName: indent;
Set Values for related option values:
false, ignoreComments;"
4.2.1 Array literals: optionally block-like,"Any array literal may optionally be formatted as if it were a ¡°block-like construct.¡± For example, the following are all valid ( not an exhaustive list):
const a = [
  0,
  1,
  2,
];

const b =
    [0, 1, 2];


const c = [0, 1, 2];

someMethod(foo, [
  0, 1, 2,
], bar);

Other combinations are allowed, particularly when emphasizing semantic groupings between elements, but should not be used only to reduce the vertical size of larger arrays.","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,"RuleName: array-bracket-newline;
Option Rule: first option, ""always"";
Set Values for related option values:
first option: ""always"";

RuleName: array-element-newline;
Option Rule: first option, ""consistent"";
Set Values for related option values:
first option: ""consistent"";"
4.2.2 Object literals: optionally block-like,"Any object literal may optionally be formatted as if it were a ¡°block-like construct.¡± The same examples apply as ?? . For example, the following are all valid ( not an exhaustive list):
const a = {
  a: 0,
  b: 1,
};

const b =
    {a: 0, b: 1};

const c = {a: 0, b: 1};

someMethod(foo, {
  a: 0, b: 1,
}, bar);","[{}, {}]",No,"{""Answer"": ""No""}",y_or_n is not Yes,None
