rule_name,description,benchmark,benchmark_default,benchmark_third,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
3.3.3 goog.module Exports,"Classes, enums, functions, constants, and other symbols are exported using the `exports` object. Exported symbols may be defined directly on the `exports` object, or else declared locally and exported separately. Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.
 Examples:
 const /** !Array<number> */ exportedArray = [1, 2, 3];
 
 const /** !Array<number> */ moduleLocalArray = [4, 5, 6];
 
 /** @return {number} */
 function moduleLocalFunction() {
  return moduleLocalArray.length;
 }
 
 /** @return {number} */
 function exportedFunction() {
  return moduleLocalFunction() * 2;
 }
 
 exports = {exportedArray, exportedFunction};
 
 /** @const {number} */
 exports.CONSTANT_ONE = 1;
 
 /** @const {string} */
 exports.CONSTANT_TWO = 'Another constant';
 
 Do not annotate the `exports` object as `@const` as it is already treated as a constant by the compiler.
 /** @const */
 exports = {exportedFunction};",,,,"no-undef: error
no-unused-vars: ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': False}]
no-redeclare: error
no-shadow: ['error', {'builtinGlobals': True, 'hoist': 'all'}]","{'no-undef': 'error', 'no-unused-vars': ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': False}], 'no-redeclare': 'error', 'no-shadow': ['error', {'builtinGlobals': True, 'hoist': 'all'}]}",true,,"no-undef
no-unused-vars
no-redeclare
no-shadow",,,"no-undef
no-unused-vars
no-redeclare
no-shadow",,,"no-undef
no-unused-vars
no-redeclare
no-shadow",
3.4.1 Imports,Import statements must not be line wrapped and are therefore an exception to the 80-column limit.,"max-len: ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]","max-len: ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]",,"max-len: ['error', {'code': 80, 'ignorePattern': '^import\\s.+\\sfrom\\s.+;$'}]","{'max-len': ['error', {'code': 80, 'ignorePattern': '^import\\s.+\\sfrom\\s.+;$'}]}",true,max-len,,,max-len,,,max-len,,
3.4.1.1 Import paths,"ES module files must use the `import` statement to import other ES module files. Do not `goog.require` another ES module.
 import './sideeffects.js';
 
 import * as goog from '../closure/goog/goog.js';
 import * as parent from '../parent.js';
 
 import {name} from './sibling.js';","no-restricted-syntax: [{'selector': 'CallExpression[callee.object.name=""goog""][callee.property.name=""require""]', 'message': 'OurSetDefault'}]","no-restricted-syntax: [{'selector': 'CallExpression[callee.object.name=""goog""][callee.property.name=""require""]', 'message': 'OurSetDefault'}]",,"import/no-unresolved: ['error', {'commonjs': True, 'caseSensitive': True}]
import/extensions: ['error', 'ignorePackages', {'js': 'never', 'jsx': 'never'}]
import/order: ['error', {'groups': [['builtin', 'external', 'internal']], 'newlines-between': 'always'}]","{'import/no-unresolved': ['error', {'commonjs': True, 'caseSensitive': True}], 'import/extensions': ['error', 'ignorePackages', {'js': 'never', 'jsx': 'never'}], 'import/order': ['error', {'groups': [['builtin', 'external', 'internal']], 'newlines-between': 'always'}]}",true,,"import/no-unresolved
import/extensions
import/order",no-restricted-syntax,,"import/no-unresolved
import/extensions
import/order",no-restricted-syntax,,"import/no-unresolved
import/extensions
import/order",no-restricted-syntax
3.4.1.1.1 File extensions in import paths,"The `.js` file extension is not optional in import paths and must always be included.
 import '../directory/file';
 
 import '../directory/file.js';",,,,"import/extensions: ['error', 'always', {'js': 'always'}]","{'import/extensions': ['error', 'always', {'js': 'always'}]}",true,,import/extensions,,,import/extensions,,,import/extensions,
3.4.1.2 Importing the same file multiple times,"Do not import the same file multiple times. This can make it hard to determine the aggregate imports of a file.
 // Imports have the same path, but since it doesn't align it can be hard to see.
 import {short} from './long/path/to/a/file.js';
 import {aLongNameThatBreaksAlignment} from './long/path/to/a/file.js';","no-duplicate-imports: ['error', {'includeExports': 'OurSetDefault'}]","no-duplicate-imports: ['error', {'includeExports': 'OurSetDefault'}]",,no-duplicate-imports: error,{'no-duplicate-imports': 'error'},true,no-duplicate-imports,,,,no-duplicate-imports,no-duplicate-imports,,no-duplicate-imports,no-duplicate-imports
3.4.1.3.1 Naming module imports,"Module import names ( `import*asname` ) are `lowerCamelCase` names that are derived from the imported file name.
 import * as fileOne from '../file-one.js';
 import * as fileTwo from '../file_two.js';
 import * as fileThree from '../filethree.js';
 
 import * as libString from './lib/string.js';
 import * as math from './math/math.js';
 import * as vectorMath from './vector/math.js';",,,,"camelcase: ['error', {'properties': 'always'}]","{'camelcase': ['error', {'properties': 'always'}]}",true,,camelcase,,,camelcase,,,camelcase,
3.4.1.3.2 Naming default imports,"Default import names are derived from the imported file name and follow the rules in ?? .
 import MyClass from '../my-class.js';
 import myFunction from '../my_function.js';
 import SOME_CONSTANT from '../someconstant.js';
 
 Note: In general this should not happen as default exports are banned by this style guide, see ?? . Default imports are only used to import modules that do not conform to this style guide.",,,,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",,,,,,,,,,
3.4.1.3.3 Naming named imports,"In general symbols imported via the named import ( `import{name}` ) should keep the same name. Avoid aliasing imports ( `import{SomeThingasSomeOtherThing}` ). Prefer fixing name collisions by using a module import ( `import*` ) or renaming the exports themselves.
 import * as bigAnimals from './biganimals.js';
 import * as domesticatedAnimals from './domesticatedanimals.js';
 
 new bigAnimals.Cat();
 new domesticatedAnimals.Cat();
 
 If renaming a named import is needed then use components of the imported module's file name or path in the resulting alias.
 import {Cat as BigCat} from './biganimals.js';
 import {Cat as DomesticatedCat} from './domesticatedanimals.js';
 
 new BigCat();
 new DomesticatedCat();",,,,"no-restricted-imports: ['error', {'patterns': ['* as *']}]","{'no-restricted-imports': ['error', {'patterns': ['* as *']}]}",true,,no-restricted-imports,,,no-restricted-imports,,,no-restricted-imports,
3.4.2 Exports,Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.,,,,"no-unused-vars: ['error', {'vars': 'all', 'args': 'none', 'ignoreRestSiblings': True}]
no-underscore-dangle: ['error', {'allowAfterThis': True, 'allowAfterSuper': True, 'enforceInMethodNames': False}]","{'no-unused-vars': ['error', {'vars': 'all', 'args': 'none', 'ignoreRestSiblings': True}], 'no-underscore-dangle': ['error', {'allowAfterThis': True, 'allowAfterSuper': True, 'enforceInMethodNames': False}]}",true,,"no-unused-vars
no-underscore-dangle",,,"no-unused-vars
no-underscore-dangle",,,"no-unused-vars
no-underscore-dangle",
3.4.2.1 Named vs default exports,"Use named exports in all code. You can apply the `export` keyword to a declaration, or use the `export{name};` syntax.
 Do not use default exports. Importing modules must give a name to these values, which can lead to inconsistencies in naming across modules.
 // Do not use default exports:
 export default class Foo { ... } // BAD!
 
 // Use named exports:
 export class Foo { ... }
 
 // Alternate style named exports:
 class Foo { ... }
 
 export {Foo};","no-restricted-exports: [{'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': True, 'named': 'OurSetDefault', 'defaultFrom': 'OurSetDefault', 'namedFrom': 'OurSetDefault', 'namespaceFrom': 'OurSetDefault'}}]","no-restricted-exports: [{'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': True, 'named': 'OurSetDefault', 'defaultFrom': 'OurSetDefault', 'namedFrom': 'OurSetDefault', 'namespaceFrom': 'OurSetDefault'}}]",,"import/no-default-export: error
import/prefer-default-export: off","{'import/no-default-export': 'error', 'import/prefer-default-export': 'off'}",true,,"import/no-default-export
import/prefer-default-export",no-restricted-exports,,"import/no-default-export
import/prefer-default-export",no-restricted-exports,,"import/no-default-export
import/prefer-default-export",no-restricted-exports
3.4.2.2 Exporting static container classes and objects,"Do not export container classes or objects with static methods or properties for the sake of namespacing.
 // container.js
 // Bad: Container is an exported class that has only static methods and fields.
 export class Container {
  /** @return {number} */
  static bar() {
  return 1;
  }
 }
 
 /** @const {number} */
 Container.FOO = 1;
 
 Instead, export individual constants and functions:
 /** @return {number} */
 export function bar() {
  return 1;
 }
 
 export const /** number */ FOO = 1;",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.4.2.3 Mutability of exports,"Exported variables must not be mutated outside of module initialization.
 There are alternatives if mutation is needed, including exporting a constant reference to an object that has mutable fields or exporting accessor functions for mutable data.
 // Bad: both foo and mutateFoo are exported and mutated.
 export let /** number */ foo = 0;
 
 /**
  * Mutates foo.
  */
 export function mutateFoo() {
  ++foo;
 }
 
 /**
  * @param {function(number): number} newMutateFoo
  */
 export function setMutateFoo(newMutateFoo) {
  // Exported classes and functions can be mutated!
  mutateFoo = () => {
  foo = newMutateFoo(foo);
  };
 }
 
 // Good: Rather than export the mutable variables foo and mutateFoo directly,
 // instead make them module scoped and export a getter for foo and a wrapper for
 // mutateFooFunc.
 let /** number */ foo = 0;
 let /** function(number): number */ mutateFooFunc = foo => foo + 1;
 
 /** @return {number} */
 export function getFoo() {
  return foo;
 }
 
 export function mutateFoo() {
  foo = mutateFooFunc(foo);
 }
 
 /** @param {function(number): number} mutateFoo */
 export function setMutateFoo(mutateFoo) {
  mutateFooFunc = mutateFoo;
 }",,,,no-import-assign: error,{'no-import-assign': 'error'},true,,no-import-assign,,,no-import-assign,,,no-import-assign,
3.4.2.4 export from,"`exportfrom` statements must not be line wrapped and are therefore an exception to the 80-column limit. This applies to both `exportfrom` flavors.
 export {specificName} from './other.js';
 export * from './another.js';","max-len: ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]","max-len: ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]",,"max-len: ['error', {'code': 80, 'ignorePattern': '^export\\s+\\{.*\\}\\s+from\\s+[\'""].*[\'""];?$'}]","{'max-len': ['error', {'code': 80, 'ignorePattern': '^export\\s+\\{.*\\}\\s+from\\s+[\'""].*[\'""];?$'}]}",true,max-len,,,max-len,,,max-len,,
3.4.3 Circular Dependencies in ES modules,"Do not create cycles between ES modules, even though the ECMAScript specification allows this. Note that it is possible to create cycles with both the `import` and `export` statements.
 // a.js
 import './b.js';
 
 // b.js
 import './a.js';
 
 // `export from` can cause circular dependencies too!
 export {x} from './c.js';
 
 // c.js
 import './b.js';
 
 export let x;",,,,import/no-cycle: error,{'import/no-cycle': 'error'},true,,import/no-cycle,,,import/no-cycle,,,import/no-cycle,
3.4.4.1 Referencing goog,"To reference the Closure `goog` namespace, import Closure's `goog.js` .
 import * as goog from '../closure/goog/goog.js';
 
 const name = goog.require('a.name');
 
 export const CONSTANT = name.compute();
 
 `goog.js` exports only a subset of properties from the global `goog` that can be used in ES modules.",,,,global-require: error,{'global-require': 'error'},true,,global-require,,,global-require,,,global-require,
3.4.4.2 goog.require in ES modules,"`goog.require` in ES modules works as it does in `goog.module` files. You can require any Closure namespace symbol (i.e., symbols created by `goog.provide` or `goog.module` ) and `goog.require` will return the value.
 import * as goog from '../closure/goog/goog.js';
 import * as anEsModule from './anEsModule.js';
 
 const GoogPromise = goog.require('goog.Promise');
 const myNamespace = goog.require('my.namespace');",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.4.4.3 Declaring Closure Module IDs in ES modules,"`goog.declareModuleId` can be used within ES modules to declare a `goog.module` -like module ID. This means that this module ID can be `goog.require` d, `goog.module.get` d, `goog.forwardDeclare` 'd, etc. as if it were a `goog.module` that did not call `goog.module.declareLegacyNamespace` . It does not create the module ID as a globally available JavaScript symbol.
 A `goog.require` (or `goog.module.get` ) for a module ID from `goog.declareModuleId` will always return the module object (as if it was `import*` 'd). As a result, the argument to `goog.declareModuleId` should always end with a `lowerCamelCaseName` .
 Note: It is an error to call `goog.module.declareLegacyNamespace` in an ES module, it can only be called from `goog.module` files. There is no direct way to associate a legacy namespace with an ES module.
 `goog.declareModuleId` should only be used to upgrade Closure files to ES modules in place, where named exports are used.
 import * as goog from '../closure/goog.js';
 
 goog.declareModuleId('my.esm');
 
 export class Class {};",,,,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",,,,,,,,,,
3.5 goog.setTestOnly,"In a `goog.module` file the `goog.module` statement may optionally be followed by a call to `goog.setTestOnly()` .
 In an ES module the `import` statements may optionally be followed by a call to `goog.setTestOnly()` .",,,,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
3.6 goog.require and goog.requireType statements,"Imports are done with `goog.require` and `goog.requireType` statements. The names imported by a `goog.require` statement may be used both in code and in type annotations, while those imported by a `goog.requireType` may be used in type annotations only.
 The `goog.require` and `goog.requireType` statements form a contiguous block with no empty lines. This block follows the `goog.module` declaration separated by a single empty line . The entire argument to `goog.require` or `goog.requireType` is a namespace defined by a `goog.module` in a separate file. `goog.require` and `goog.requireType` statements may not appear anywhere else in the file.
 Each `goog.require` or `goog.requireType` is assigned to a single constant alias, or else destructured into several constant aliases. These aliases are the only acceptable way to refer to dependencies in type annotations or code. Fully qualified namespaces must not be used anywhere, except as an argument to `goog.require` or `goog.requireType` .
 Exception : Types, variables, and functions declared in externs files have to use their fully qualified name in type annotations and code.
 Aliases must match the final dot-separated component of the imported module's namespace.
 Exception : In certain cases, additional components of the namespace can be used to form a longer alias. The resulting alias must retain the original identifier's casing such that it still correctly identifies its type. Longer aliases may be used to disambiguate otherwise identical aliases, or if it significantly improves readability. In addition, a longer alias must be used to prevent masking native types such as `Element` , `Event` , `Error` , `Map` , and `Promise` (for a more complete list, see Standard Built-in Objects and Web
 APIs at MDN). When renaming destructured aliases, a space must follow the colon as required in ?? .
 A file should not contain both a `goog.require` and a `goog.requireType` statement for the same namespace. If the imported name is used both in code and in type annotations, it should be imported by a single `goog.require` statement.
 If a module is imported only for its side effects, the call must be a `goog.require` (not a `goog.requireType` ) and assignment may be omitted. A comment is required to explain why this is needed and suppress a compiler warning.
 The lines are sorted according to the following rules: All requires with a name on the left hand side come first, sorted alphabetically by those names. Then destructuring requires, again sorted by the names on the left hand side. Finally, any require calls that are standalone (generally these are for modules imported just for their side effects).
 Tip: There’s no need to memorize this order and enforce it manually. You can rely on your IDE to report requires that are not sorted correctly.
 If a long alias or module name would cause a line to exceed the 80-column limit, it must not be wrapped: require lines are an exception to the 80-column limit.
 Example:
 // Standard alias style.
 const MyClass = goog.require('some.package.MyClass');
 const MyType = goog.requireType('some.package.MyType');
 // Namespace-based alias used to disambiguate.
 const NsMyClass = goog.require('other.ns.MyClass');
 // Namespace-based alias used to prevent masking native type.
 const RendererElement = goog.require('web.renderer.Element');
 // Out of sequence namespace-based aliases used to improve readability.
 // Also, require lines longer than 80 columns must not be wrapped.
 const SomeDataStructureModel = goog.requireType('identical.package.identifiers.models.SomeDataStructure');
 const SomeDataStructureProto = goog.require('proto.identical.package.identifiers.SomeDataStructure');
 // Standard alias style.
 const asserts = goog.require('goog.asserts');
 // Namespace-based alias used to disambiguate.
 const testingAsserts = goog.require('goog.testing.asserts');
 // Standard destructuring into aliases.
 const {clear, clone} = goog.require('goog.array');
 const {Rgb} = goog.require('goog.color');
 // Namespace-based destructuring into aliases in order to disambiguate.
 const {SomeType: FooSomeType} = goog.requireType('foo.types');
 const {clear: objectClear, clone: objectClone} = goog.require('goog.object');
 // goog.require without an alias in order to trigger side effects.
 /** @suppress {extraRequire} Initializes MyFramework. */
 goog.require('my.framework.initialization');
 
 Discouraged:
 // If necessary to disambiguate, prefer PackageClass over SomeClass as it is
 // closer to the format of the module name.
 const SomeClass = goog.require('some.package.Class');
 
 Disallowed:
 // Extra terms must come from the namespace.
 const MyClassForBizzing = goog.require('some.package.MyClass');
 // Alias must include the entire final namespace component.
 const MyClass = goog.require('some.package.MyClassForBizzing');
 // Alias must not mask native type (should be `const JspbMap` here).
 const Map = goog.require('jspb.Map');
 // Don't break goog.require lines over 80 columns.
 const SomeDataStructure =
  goog.require('proto.identical.package.identifiers.SomeDataStructure');
 // Alias must be based on the namespace.
 const randomName = goog.require('something.else');
 // Missing a space after the colon.
 const {Foo:FooProto} = goog.require('some.package.proto.Foo');
 // goog.requireType without an alias.
 goog.requireType('some.package.with.a.Type');
 
 
 /**
  * @param {!some.unimported.Dependency} param All external types used in JSDoc
  * annotations must be goog.require'd, unless declared in externs.
  */
 function someFunction(param) {
  // goog.require lines must be at the top level before any other code.
  const alias = goog.require('my.long.name.alias');
  // ...
 }",,,,"sort-imports: ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}]
no-duplicate-imports: error
no-restricted-imports: ['error', {'patterns': ['goog.require', 'goog.requireType']}]
no-var: error
prefer-const: ['error', {'destructuring': 'all', 'ignoreReadBeforeAssign': True}]
prefer-destructuring: ['error', {'VariableDeclarator': {'array': False, 'object': True}, 'AssignmentExpression': {'array': True, 'object': False}}, {'enforceForRenamedProperties': False}]","{'sort-imports': ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}], 'no-duplicate-imports': 'error', 'no-restricted-imports': ['error', {'patterns': ['goog.require', 'goog.requireType']}], 'no-var': 'error', 'prefer-const': ['error', {'destructuring': 'all', 'ignoreReadBeforeAssign': True}], 'prefer-destructuring': ['error', {'VariableDeclarator': {'array': False, 'object': True}, 'AssignmentExpression': {'array': True, 'object': False}}, {'enforceForRenamedProperties': False}]}",true,,"sort-imports
no-duplicate-imports
no-restricted-imports
no-var
prefer-const
prefer-destructuring",,,"sort-imports
no-duplicate-imports
no-restricted-imports
no-var
prefer-const
prefer-destructuring",,,"sort-imports
no-duplicate-imports
no-restricted-imports
no-var
prefer-const
prefer-destructuring",
3.7 The file’s implementation,"The actual implementation follows after all dependency information is declared (separated by at least one blank line).
 This may consist of any module-local declarations (constants, variables, classes, functions, etc), as well as any exported symbols.",,,,"padding-line-between-statements: ['error', {'blankLine': 'always', 'prev': 'import', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'export'}]","{'padding-line-between-statements': ['error', {'blankLine': 'always', 'prev': 'import', 'next': '*'}, {'blankLine': 'always', 'prev': '*', 'next': 'export'}]}",true,,padding-line-between-statements,,,padding-line-between-statements,,,padding-line-between-statements,
4.1.1 Braces are used for all control structures,"Braces are required for all control structures (i.e. `if` , `else` , `for` , `do` , `while` , as well as any others), even if the body contains only a single statement. The first statement of a non-empty block must begin on its own line.
 Disallowed:
 if (someVeryLongCondition())
  doSomething();
 
 for (let i = 0; i < foo.length; i++) bar(foo[i]);
 
 Exception : A simple if statement that can fit entirely on a single line with no wrapping (and that doesn’t have an else) may be kept on a single line with no braces when it improves readability. This is the only case in which a control structure may omit braces and newlines.
 if (shortCondition()) foo();","curly: ['error', 'multi-line']","curly: ['error', 'multi-line']",,"curly: ['error', 'all']
brace-style: ['error', '1tbs', {'allowSingleLine': True}]
nonblock-statement-body-position: ['error', 'beside']","{'curly': ['error', 'all'], 'brace-style': ['error', '1tbs', {'allowSingleLine': True}], 'nonblock-statement-body-position': ['error', 'beside']}",true,curly,"brace-style
nonblock-statement-body-position",,,"curly
brace-style
nonblock-statement-body-position",curly,,"curly
brace-style
nonblock-statement-body-position",curly
