rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
3.6 goog.require and goog.requireType statements,"Imports are done with `goog.require` and `goog.requireType` statements. The names imported by a `goog.require` statement may be used both in code and in type annotations, while those imported by a `goog.requireType` may be used in type annotations only.
The `goog.require` and `goog.requireType` statements form a contiguous block with no empty lines. This block follows the `goog.module` declaration separated by a single empty line . The entire argument to `goog.require` or `goog.requireType` is a namespace defined by a `goog.module` in a separate file. `goog.require` and `goog.requireType` statements may not appear anywhere else in the file.
Each `goog.require` or `goog.requireType` is assigned to a single constant alias, or else destructured into several constant aliases. These aliases are the only acceptable way to refer to dependencies in type annotations or code. Fully qualified namespaces must not be used anywhere, except as an argument to `goog.require` or `goog.requireType` .
Exception : Types, variables, and functions declared in externs files have to use their fully qualified name in type annotations and code.
Aliases must match the final dot-separated component of the imported module's namespace.
Exception : In certain cases, additional components of the namespace can be used to form a longer alias. The resulting alias must retain the original identifier's casing such that it still correctly identifies its type. Longer aliases may be used to disambiguate otherwise identical aliases, or if it significantly improves readability. In addition, a longer alias must be used to prevent masking native types such as `Element` , `Event` , `Error` , `Map` , and `Promise` (for a more complete list, see Standard Built-in Objects and Web
APIs at MDN). When renaming destructured aliases, a space must follow the colon as required in ?? .
A file should not contain both a `goog.require` and a `goog.requireType` statement for the same namespace. If the imported name is used both in code and in type annotations, it should be imported by a single `goog.require` statement.
If a module is imported only for its side effects, the call must be a `goog.require` (not a `goog.requireType` ) and assignment may be omitted. A comment is required to explain why this is needed and suppress a compiler warning.
The lines are sorted according to the following rules: All requires with a name on the left hand side come first, sorted alphabetically by those names. Then destructuring requires, again sorted by the names on the left hand side. Finally, any require calls that are standalone (generally these are for modules imported just for their side effects).
Tip: There¡¯s no need to memorize this order and enforce it manually. You can rely on your IDE to report requires that are not sorted correctly.
If a long alias or module name would cause a line to exceed the 80-column limit, it must not be wrapped: require lines are an exception to the 80-column limit.
Example:
// Standard alias style.
const MyClass = goog.require('some.package.MyClass');
const MyType = goog.requireType('some.package.MyType');
// Namespace-based alias used to disambiguate.
const NsMyClass = goog.require('other.ns.MyClass');
// Namespace-based alias used to prevent masking native type.
const RendererElement = goog.require('web.renderer.Element');
// Out of sequence namespace-based aliases used to improve readability.
// Also, require lines longer than 80 columns must not be wrapped.
const SomeDataStructureModel = goog.requireType('identical.package.identifiers.models.SomeDataStructure');
const SomeDataStructureProto = goog.require('proto.identical.package.identifiers.SomeDataStructure');
// Standard alias style.
const asserts = goog.require('goog.asserts');
// Namespace-based alias used to disambiguate.
const testingAsserts = goog.require('goog.testing.asserts');
// Standard destructuring into aliases.
const {clear, clone} = goog.require('goog.array');
const {Rgb} = goog.require('goog.color');
// Namespace-based destructuring into aliases in order to disambiguate.
const {SomeType: FooSomeType} = goog.requireType('foo.types');
const {clear: objectClear, clone: objectClone} = goog.require('goog.object');
// goog.require without an alias in order to trigger side effects.
/** @suppress {extraRequire} Initializes MyFramework. */
goog.require('my.framework.initialization');

Discouraged:
// If necessary to disambiguate, prefer PackageClass over SomeClass as it is
// closer to the format of the module name.
const SomeClass = goog.require('some.package.Class');

Disallowed:
// Extra terms must come from the namespace.
const MyClassForBizzing = goog.require('some.package.MyClass');
// Alias must include the entire final namespace component.
const MyClass = goog.require('some.package.MyClassForBizzing');
// Alias must not mask native type (should be `const JspbMap` here).
const Map = goog.require('jspb.Map');
// Don't break goog.require lines over 80 columns.
const SomeDataStructure =
    goog.require('proto.identical.package.identifiers.SomeDataStructure');
// Alias must be based on the namespace.
const randomName = goog.require('something.else');
// Missing a space after the colon.
const {Foo:FooProto} = goog.require('some.package.proto.Foo');
// goog.requireType without an alias.
goog.requireType('some.package.with.a.Type');


/**
 * @param {!some.unimported.Dependency} param All external types used in JSDoc
 *     annotations must be goog.require'd, unless declared in externs.
 */
function someFunction(param) {
  // goog.require lines must be at the top level before any other code.
  const alias = goog.require('my.long.name.alias');
  // ...
}",,Yes,"key-spacing: [{'afterColon': True}]
sort-imports: [{'ignoreDeclarationSort': False, 'ignoreMemberSort': False}]
max-len: [{'code': 80}]",true,,"key-spacing
sort-imports
max-len",,,"key-spacing
sort-imports
max-len",,,"key-spacing
sort-imports
max-len",
4 Formatting,"Terminology Note : block-like construct refers to the body of a class, function, method, or brace-delimited block of code. Note that, by ?? and ?? , any array or object literal may optionally be treated as if it were a block-like construct.
Tip: Use `clang-format` . The JavaScript community has invested effort to make sure clang-format does the right thing on JavaScript files. `clang-format` has integration with several popular editors.",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
4.1.1 Braces are used for all control structures,"Braces are required for all control structures (i.e. `if` , `else` , `for` , `do` , `while` , as well as any others), even if the body contains only a single statement. The first statement of a non-empty block must begin on its own line.
Disallowed:
if (someVeryLongCondition())
  doSomething();

for (let i = 0; i < foo.length; i++) bar(foo[i]);

Exception : A simple if statement that can fit entirely on a single line with no wrapping (and that doesn¡¯t have an else) may be kept on a single line with no braces when it improves readability. This is the only case in which a control structure may omit braces and newlines.
if (shortCondition()) foo();","curly: ['error', 'all']",Yes,"curly: all
nonblock-statement-body-position: beside",true,curly,nonblock-statement-body-position,,,"curly
nonblock-statement-body-position",curly,,"curly
nonblock-statement-body-position",curly
4.1.2 Nonempty blocks: K&R style,"Braces follow the Kernighan and Ritchie style ( 
Egyptian brackets 
) for nonempty blocks and block-like constructs:
No line break before the opening brace. 
Line break after the opening brace. 
Line break before the closing brace. 
Line break after the closing brace if that brace terminates a statement or the body of a function or class statement, or a class method. Specifically, there is no line break after the brace if it is followed by `else` , `catch` , `while` , or a comma, semicolon, or right-parenthesis.
Example:
class InnerClass {
  constructor() {}

  /** @param {number} foo */
  method(foo) {
    if (condition(foo)) {
      try {
        // Note: this might fail.
        something();
      } catch (err) {
        recover();
      }
    }
  }
}
","brace-style: ['error', '1tbs']",Yes,brace-style: ['stroustrup'],true,brace-style,,,,brace-style,brace-style,,brace-style,brace-style
4.1.3 Empty blocks: may be concise,"An empty block or block-like construct may be closed immediately after it is opened, with no characters, space, or line break in between (i.e. `{}` ), unless it is a part of a multi-block statement (one that directly contains multiple blocks: `if` / `else` or `try` / `catch` / `finally` ).
Example:
function doNothing() {}

Disallowed:
if (condition) {
  // ¡­
} else if (otherCondition) {} else {
  // ¡­
}

try {
  // ¡­
} catch (e) {}
",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
4.2 Block indentation: +2 spaces,"Each time a new block or block-like construct is opened, the indent increases by two spaces. When the block ends, the indent returns to the previous indent level. The indent level applies to both code and comments throughout the block. (See the example in ?? ).","indent: ['error', 2, {'ignoreComments': False}]",Yes,"indent: [2, 2, False, 'ignoreComments']",true,indent,,,,indent,indent,,indent,indent
4.2.1 Array literals: optionally block-like,"Any array literal may optionally be formatted as if it were a ¡°block-like construct.¡± For example, the following are all valid ( not an exhaustive list):
const a = [
  0,
  1,
  2,
];

const b =
    [0, 1, 2];


const c = [0, 1, 2];

someMethod(foo, [
  0, 1, 2,
], bar);

Other combinations are allowed, particularly when emphasizing semantic groupings between elements, but should not be used only to reduce the vertical size of larger arrays.",,Yes,"array-bracket-newline: ['always']
array-element-newline: ['consistent']",true,,"array-bracket-newline
array-element-newline",,,"array-bracket-newline
array-element-newline",,,"array-bracket-newline
array-element-newline",
4.2.2 Object literals: optionally block-like,"Any object literal may optionally be formatted as if it were a ¡°block-like construct.¡± The same examples apply as ?? . For example, the following are all valid ( not an exhaustive list):
const a = {
  a: 0,
  b: 1,
};

const b =
    {a: 0, b: 1};

const c = {a: 0, b: 1};

someMethod(foo, {
  a: 0, b: 1,
}, bar);",,No,"{
    ""Answer"": ""No"",
    ""Configuration"": {}
}",,,,,,,,,,
4.2.3 Class literals,"Class literals (whether declarations or expressions) are indented as blocks. Do not add semicolons after methods, or after the closing brace of a class declaration (statements¡ªsuch as assignments¡ªthat contain class expressions are still terminated with a semicolon). Use the `extends` keyword, but not the `@extends` JSDoc annotation unless the class extends a templatized type.
Example:
class Foo {
  constructor() {
    /** @type {number} */
    this.x = 42;
  }

  /** @return {number} */
  method() {
    return this.x;
  }
}
Foo.Empty = class {};

/** @extends {Foo<string>} */
foo.Bar = class extends Foo {
  /** @override */
  method() {
    return super.method() / 2;
  }
};

/** @interface */
class Frobnicator {
  /** @param {string} message */
  frobnicate(message) {}
}","indent: ['error', 2]
no-extra-semi: error",Yes,"indent: ['first option', 4]
no-extra-semi: error",true,"indent
no-extra-semi",,,no-extra-semi,indent,indent,no-extra-semi,indent,indent
4.2.4 Function expressions,"When declaring an anonymous function in the list of arguments for a function call, the body of the function is indented two spaces more than the preceding indentation depth.
Example:
prefix.something.reallyLongFunctionName('whatever', (a1, a2) => {
  // Indent the function body +2 relative to indentation depth
  // of the 'prefix' statement one line above.
  if (a1.equals(a2)) {
    someOtherLongFunctionName(a1);
  } else {
    andNowForSomethingCompletelyDifferent(a2.parrot);
  }
});

some.reallyLongFunctionCall(arg1, arg2, arg3)
    .thatsWrapped()
    .then((result) => {
      // Indent the function body +2 relative to the indentation depth
      // of the '.then()' call.
      if (result) {
        result.use();
      }
    });","indent: ['error', 2, {'FunctionExpression': {'body': 1, 'parameters': 2}, 'MemberExpression': 2}]",Yes,"indent: [{'FunctionExpression': {'body': 1}}, {'CallExpression': {'arguments': 1}}]",true,indent,,,,indent,indent,,indent,indent
4.2.5 Switch statements,"As with any other block, the contents of a switch block are indented +2.
After a switch label, a newline appears, and the indentation level is increased +2, exactly as if a block were being opened. An explicit block may be used if required by lexical scoping. The following switch label returns to the previous indentation level, as if a block had been closed.
A blank line is optional between a `break` and the following case.
Example:
switch (animal) {
  case Animal.BANDERSNATCH:
    handleBandersnatch();
    break;

  case Animal.JABBERWOCK:
    handleJabberwock();
    break;

  default:
    throw new Error('Unknown animal');
}","indent: ['error', 2, {'SwitchCase': 1}]",Yes,"indent: ['error', 2, {'SwitchCase': 2}]
padding-line-between-statements: ['error', {'blankLine': 'always', 'prev': 'break', 'next': 'case'}]",true,indent,padding-line-between-statements,,indent,padding-line-between-statements,,,"indent
padding-line-between-statements",indent
4.3.1 One statement per line,Each statement is followed by a line-break.,"max-statements-per-line: ['error', {'max': 1}]",Yes,"max-statements-per-line: ['error', {'max': 1}]",true,max-statements-per-line,,,max-statements-per-line,,,max-statements-per-line,,
4.3.2 Semicolons are required,Every statement must be terminated with a semicolon. Relying on automatic semicolon insertion is forbidden.,"semi: ['error', 'always']",Yes,"semi: ['fourth option', 'never']",true,semi,,,,semi,semi,,semi,semi
4.4 Column limit: 80,"JavaScript code has a column limit of 80 characters. Except as noted below, any line that would exceed this limit must be line-wrapped, as explained in ?? .
Exceptions:
`goog.module` , `goog.require` and `goog.requireType` statements (see ?? and ?? ). 
ES module `import` and `exportfrom` statements (see ?? and ?? ). 
Lines where obeying the column limit is not possible or would hinder discoverability. Examples include: 
A long URL which should be clickable in source. 
A shell command intended to be copied-and-pasted. 
A long string literal which may need to be copied or searched for wholly (e.g., a long file path).","max-len: ['error', {'ignoreUrls': True, 'ignoreStrings': True, 'ignorePattern': 'OurSetDefault'}]",Yes,"max-len: [{'max': 80}, {'code': 80}, {'ignorePattern': '.*'}]",true,max-len,,,,max-len,max-len,,max-len,max-len
4.5 Line-wrapping,"Terminology Note : Line wrapping is breaking a chunk of code into multiple lines to obey column limit, where the chunk could otherwise legally fit in a single line.
There is no comprehensive, deterministic formula showing exactly how to line-wrap in every situation. Very often there are several valid ways to line-wrap the same piece of code.
Note: While the typical reason for line-wrapping is to avoid overflowing the column limit, even code that would in fact fit within the column limit may be line-wrapped at the author's discretion.
Tip: Extracting a method or local variable may solve the problem without the need to line-wrap.",,Yes,"max-len: ['max', 'ColumnLimit']",true,,max-len,,,max-len,,,max-len,
