rule_name,description,benchmark,gpt_answer,gpt_configuration,tag
3 Source file structure,"All new source files should either be a `goog.module` file (a file containing a `goog.module` call) or an ECMAScript (ES) module (uses `import` and `export` statements). Files consist of the following, in order :
 License or copyright information, if present 
 `@fileoverview` JSDoc, if present 
 `goog.module` statement, if a `goog.module` file 
 ES `import` statements, if an ES module 
 `goog.require` and `goog.requireType` statements 
 The file’s implementation
 Exactly one blank line separates each section that is present, except the file's implementation, which may be preceded by 1 or 2 blank lines.",,Yes,"{'global-require': 'error', 'vars-on-top': 'error', 'no-mixed-requires': ['error', {'grouping': True}], 'no-duplicate-imports': 'error', 'require-jsdoc': ['error', {'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}], 'no-lone-blocks': 'error', 'indent': ['error', 4, {'SwitchCase': 1, 'VariableDeclarator': 1, 'outerIIFEBody': 1, 'MemberExpression': 1, 'FunctionDeclaration': {'parameters': 1, 'body': 1}, 'FunctionExpression': {'parameters': 1, 'body': 1}, 'StaticBlock': {'body': 1}, 'CallExpression': {'arguments': 1}, 'ArrayExpression': 1, 'ObjectExpression': 1, 'ImportDeclaration': 1, 'flatTernaryExpressions': False, 'offsetTernaryExpressions': True, 'ignoreComments': False}], 'no-dupe-class-members': 'error', 'lines-around-directive': ['error', {'before': 'always', 'after': 'always'}], 'strict': ['error', 'global'], 'no-new-require': 'error', 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'one-var': ['error', {'var': 'always', 'let': 'never', 'const': 'never'}], 'brace-style': ['error', '1tbs', {'allowSingleLine': True}], 'func-style': ['error', 'declaration', {'allowArrowFunctions': True}], 'sort-imports': ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}], 'no-undefined': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-var': 'error', 'no-dupe-keys': 'error'}",valid config part
"3.1 License or copyright information, if present","If license or copyright information belongs in a file, it belongs here.",,Yes,"{'no-this-before-super': 'error', 'unicode-bom': ['error', 'never'], 'prefer-object-has-own': 'error', 'no-ternary': 'error', 'no-octal-escape': 'error', 'no-undefined': 'error', 'no-process-env': 'error', 'no-negated-condition': 'error', 'no-invalid-this': ['error', {'capIsConstructor': True}], 'no-whitespace-before-property': 'error', 'dot-notation': ['error', {'allowKeywords': True}], 'no-script-url': 'error', 'no-octal': 'error', 'no-shadow-restricted-names': 'error', 'prefer-template': 'error', 'no-useless-constructor': 'error', 'guard-for-in': 'error', 'no-extra-semi': 'error', 'global-require': 'error'}",exist config in str
"3.2 @fileoverview JSDoc, if present",See ?? for formatting rules.,,Yes,"{'valid-jsdoc': [{'prefer': {}, 'preferType': {}, 'requireReturn': True, 'requireReturnType': False, 'matchDescription': '', 'requireParamDescription': False, 'requireReturnDescription': False, 'requireParamType': False}], 'require-jsdoc': [{'require': {'FunctionDeclaration': True, 'MethodDefinition': False, 'ClassDeclaration': False, 'ArrowFunctionExpression': False, 'FunctionExpression': False}}]}",valid config part
3.3 goog.module statement,"All `goog.module` files must declare exactly one `goog.module` name on a single line: lines containing a `goog.module` declaration must not be wrapped, and are therefore an exception to the 80-column limit.
 The entire argument to goog.module is what defines a namespace. It is the package name (an identifier that reflects the fragment of the directory structure where the code lives) plus, optionally, the main class/enum/interface that it defines concatenated to the end.
 Example
 goog.module('search.urlHistory.UrlHistoryService');","{'max-len': ['error', {'ignorePattern': 'OurSetDefault'}]}",Yes,"{'global-require': 'error', 'no-mixed-requires': ['error', {'grouping': True}], 'no-duplicate-imports': ['error', {'includeExports': True}], 'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always'}], 'no-undef': ['error', {'typeof': True}], 'strict': ['error', 'global'], 'no-shadow-restricted-names': 'error', 'max-statements-per-line': ['error', {'max': 1}], 'no-use-before-define': ['error', {'functions': False, 'classes': True, 'variables': True, 'allowNamedExports': True}], 'no-restricted-modules': ['error', {'paths': ['fs'], 'patterns': ['*']}], 'no-dupe-args': 'error', 'func-names': ['error', 'always'], 'no-var': 'error', 'no-inner-declarations': ['error', 'both'], 'no-lone-blocks': 'error', 'one-var-declaration-per-line': ['error', 'always'], 'no-unexpected-multiline': 'error'}",exist config in str
3.3.1 Hierarchy,"Module namespaces may never be named as a direct child of another module's namespace.
 Disallowed:
 goog.module('foo.bar'); // 'foo.bar.qux' would be fine, though
 goog.module('foo.bar.baz');
 
 The directory hierarchy reflects the namespace hierarchy, so that deeper-nested children are subdirectories of higher-level parent directories. Note that this implies that owners of “parent” namespace groups are necessarily aware of all child namespaces, since they exist in the same directory.",,No,"{
    ""Answer"": No,
    ""Configuration"": {}
}",No 'Yes' in str
3.3.2 goog.module.declareLegacyNamespace,"The single `goog.module` statement may optionally be followed by a call to `goog.module.declareLegacyNamespace();` . Avoid `goog.module.declareLegacyNamespace()` when possible.
 Example:
 goog.module('my.test.helpers');
 goog.module.declareLegacyNamespace();
 goog.setTestOnly();
 
 `goog.module.declareLegacyNamespace` exists to ease the transition from traditional object hierarchy-based namespaces but comes with some naming restrictions. As the child module name must be created after the parent namespace, this name must not be a child or parent of any other `goog.module` (for example, `goog.module('parent');` and `goog.module('parent.child');` cannot both exist safely, nor can `goog.module('parent');` and `goog.module('parent.child.grandchild');` ).",,Yes,"{'no-implicit-globals': ['error', {'lexicalBindings': True}], 'global-require': 'error', 'no-mixed-requires': ['error', {'grouping': True, 'allowCall': False}], 'no-undef': ['error', {'typeof': True}], 'no-inner-declarations': ['error', 'both'], 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always'}], 'no-redeclare': ['error', {'builtinGlobals': True}], 'vars-on-top': 'error', 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}], 'strict': ['error', 'global'], 'no-dupe-class-members': 'error', 'no-lone-blocks': 'error', 'no-undefined': 'error', 'init-declarations': ['error', 'always'], 'no-new-native-nonconstructor': 'error', 'no-duplicate-imports': ['error', {'includeExports': True}], 'no-invalid-this': ['error', {'capIsConstructor': True}], 'no-func-assign': 'error', 'no-restricted-globals': ['error', {'name': 'event', 'message': ""Avoid using the global 'event' variable.""}]}",valid config part
3.3.3 goog.module Exports,"Classes, enums, functions, constants, and other symbols are exported using the `exports` object. Exported symbols may be defined directly on the `exports` object, or else declared locally and exported separately. Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.
 Examples:
 const /** !Array<number> */ exportedArray = [1, 2, 3];
 
 const /** !Array<number> */ moduleLocalArray = [4, 5, 6];
 
 /** @return {number} */
 function moduleLocalFunction() {
  return moduleLocalArray.length;
 }
 
 /** @return {number} */
 function exportedFunction() {
  return moduleLocalFunction() * 2;
 }
 
 exports = {exportedArray, exportedFunction};
 
 /** @const {number} */
 exports.CONSTANT_ONE = 1;
 
 /** @const {string} */
 exports.CONSTANT_TWO = 'Another constant';
 
 Do not annotate the `exports` object as `@const` as it is already treated as a constant by the compiler.
 /** @const */
 exports = {exportedFunction};",,Yes,"{'no-implicit-globals': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-duplicate-imports': ['error', {'includeExports': False}], 'no-obj-calls': 'error', 'no-undefined': 'error', 'no-unused-vars': ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': False}], 'global-require': 'error', 'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always'}], 'no-redeclare': ['error', {'builtinGlobals': True}], 'no-undef': ['error', {'typeof': False}], 'no-dupe-class-members': 'error', 'no-global-assign': ['error', {'exceptions': []}], 'no-shadow-restricted-names': 'error', 'no-undef-init': 'error', 'no-shadow': ['error', {'builtinGlobals': False, 'hoist': 'functions', 'allow': [], 'ignoreOnInitialization': False}], 'no-mixed-requires': ['error', {'grouping': False, 'allowCall': False}], 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}]}",valid config part
3.4 ES modules,3.4 ES modules,,Yes,"{'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-duplicate-imports': ['error', {'includeExports': True}], 'global-require': 'error', 'no-import-assign': 'error'}",valid config part
3.4.1 Imports,Import statements must not be line wrapped and are therefore an exception to the 80-column limit.,"{'max-len': ['error', {'code': 80, 'ignorePattern': 'OurSetDefault'}]}",Yes,"{'no-duplicate-imports': 'error', 'max-len': ['error', {'code': 80, 'ignorePattern': '^import\\s.+\\sfrom\\s.+;$'}]}",valid config part
3.4.1.1 Import paths,"ES module files must use the `import` statement to import other ES module files. Do not `goog.require` another ES module.
 import './sideeffects.js';
 
 import * as goog from '../closure/goog/goog.js';
 import * as parent from '../parent.js';
 
 import {name} from './sibling.js';",,Yes,"{'global-require': 'error', 'no-duplicate-imports': ['error', {'includeExports': False}], 'no-restricted-imports': ['error', {'paths': [], 'patterns': [], 'name': '', 'message': '', 'importNames': [], 'group': [], 'caseSensitive': False, 'importNamePattern': ''}], 'sort-imports': ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}], 'no-import-assign': 'error'}",valid config part
3.4.1.1.1 File extensions in import paths,"The `.js` file extension is not optional in import paths and must always be included.
 import '../directory/file';
 
 import '../directory/file.js';",,Yes,"{'import/extensions': ['error', 'always', {'js': 'always'}]}",valid config part
3.4.1.2 Importing the same file multiple times,"Do not import the same file multiple times. This can make it hard to determine the aggregate imports of a file.
 // Imports have the same path, but since it doesn't align it can be hard to see.
 import {short} from './long/path/to/a/file.js';
 import {aLongNameThatBreaksAlignment} from './long/path/to/a/file.js';",{'no-duplicate-imports': ['error']},Yes,{'no-duplicate-imports': 'error'},valid config part
3.4.1.3 Naming imports,3.4.1.3 Naming imports,,Yes,"{'no-duplicate-imports': ['error'], 'no-useless-rename': ['error'], 'sort-imports': ['error'], 'no-import-assign': ['error'], 'no-restricted-imports': ['error'], 'no-restricted-exports': ['error']}",valid config part
3.4.1.3.1 Naming module imports,"Module import names ( `import*asname` ) are `lowerCamelCase` names that are derived from the imported file name.
 import * as fileOne from '../file-one.js';
 import * as fileTwo from '../file_two.js';
 import * as fileThree from '../filethree.js';
 
 import * as libString from './lib/string.js';
 import * as math from './math/math.js';
 import * as vectorMath from './vector/math.js';","{'camelcase': ['error', {'ignoreImports': False}]}",Yes,"{'camelcase': ['error', {'ignoreImports': False}]}",exist config in str
3.4.1.3.2 Naming default imports,"Default import names are derived from the imported file name and follow the rules in ?? .
 import MyClass from '../my-class.js';
 import myFunction from '../my_function.js';
 import SOME_CONSTANT from '../someconstant.js';
 
 Note: In general this should not happen as default exports are banned by this style guide, see ?? . Default imports are only used to import modules that do not conform to this style guide.",,Yes,"{'no-duplicate-imports': 'error', 'sort-imports': ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}], 'camelcase': ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False}]}",valid config part
3.4.1.3.3 Naming named imports,"In general symbols imported via the named import ( `import{name}` ) should keep the same name. Avoid aliasing imports ( `import{SomeThingasSomeOtherThing}` ). Prefer fixing name collisions by using a module import ( `import*` ) or renaming the exports themselves.
 import * as bigAnimals from './biganimals.js';
 import * as domesticatedAnimals from './domesticatedanimals.js';
 
 new bigAnimals.Cat();
 new domesticatedAnimals.Cat();
 
 If renaming a named import is needed then use components of the imported module's file name or path in the resulting alias.
 import {Cat as BigCat} from './biganimals.js';
 import {Cat as DomesticatedCat} from './domesticatedanimals.js';
 
 new BigCat();
 new DomesticatedCat();",,Yes,"{'no-useless-rename': ['error', {'ignoreImport': False, 'ignoreExport': False, 'ignoreDestructuring': False}], 'no-duplicate-imports': ['error', {'includeExports': False}]}",valid config part
3.4.2 Exports,Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.,,Yes,"{'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-new-native-nonconstructor': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-restricted-exports': ['error', {'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': False, 'named': False, 'defaultFrom': False, 'namedFrom': False, 'namespaceFrom': False}}], 'no-new-symbol': 'error', 'no-duplicate-imports': ['error', {'includeExports': False}], 'no-underscore-dangle': ['error', {'allow': [], 'allowAfterThis': False, 'allowAfterSuper': False, 'allowAfterThisConstructor': False, 'enforceInMethodNames': False, 'enforceInClassFields': False, 'allowInArrayDestructuring': True, 'allowInObjectDestructuring': True, 'allowFunctionParams': True}], 'no-shadow': ['error', {'builtinGlobals': False, 'hoist': 'functions', 'allow': [], 'ignoreOnInitialization': False}], 'no-shadow-restricted-names': 'error', 'sort-imports': ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}], 'no-unused-vars': ['error', {'vars': 'all', 'varsIgnorePattern': '', 'args': 'after-used', 'argsIgnorePattern': '', 'caughtErrors': 'none', 'caughtErrorsIgnorePattern': '', 'destructuredArrayIgnorePattern': '', 'ignoreRestSiblings': False}], 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}], 'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always', 'separateRequires': False, 'initialized': 'always', 'uninitialized': 'always'}], 'no-dupe-class-members': 'error', 'symbol-description': 'error', 'no-mixed-requires': ['error', {'grouping': False, 'allowCall': False}], 'no-useless-rename': ['error', {'ignoreImport': False, 'ignoreExport': False, 'ignoreDestructuring': False}], 'no-redeclare': ['error', {'builtinGlobals': True}], 'no-undefined': 'error', 'no-global-assign': ['error', {'exceptions': []}]}",valid config part
3.4.2.1 Named vs default exports,"Use named exports in all code. You can apply the `export` keyword to a declaration, or use the `export{name};` syntax.
 Do not use default exports. Importing modules must give a name to these values, which can lead to inconsistencies in naming across modules.
 // Do not use default exports:
 export default class Foo { ... } // BAD!
 
 // Use named exports:
 export class Foo { ... }
 
 // Alternate style named exports:
 class Foo { ... }
 
 export {Foo};","{'no-restricted-exports': ['error', {'restrictDefaultExports': {'direct': True}}]}",Yes,"{'no-restricted-exports': [{'restrictDefaultExports': {'direct': True, 'named': True, 'defaultFrom': True, 'namedFrom': True, 'namespaceFrom': True}}]}",valid config part
3.4.2.2 Exporting static container classes and objects,"Do not export container classes or objects with static methods or properties for the sake of namespacing.
 // container.js
 // Bad: Container is an exported class that has only static methods and fields.
 export class Container {
  /** @return {number} */
  static bar() {
  return 1;
  }
 }
 
 /** @const {number} */
 Container.FOO = 1;
 
 Instead, export individual constants and functions:
 /** @return {number} */
 export function bar() {
  return 1;
 }
 
 export const /** number */ FOO = 1;",,Yes,"{'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-obj-calls': 'error', 'no-shadow-restricted-names': 'error', 'no-implicit-globals': ['error', {'lexicalBindings': False}], 'no-dupe-class-members': 'error', 'no-new-native-nonconstructor': 'error', 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}], 'no-useless-constructor': 'error', 'no-whitespace-before-property': 'error', 'no-invalid-this': ['error', {'capIsConstructor': True}], 'class-methods-use-this': ['error', {'exceptMethods': [], 'enforceForClassFields': True}], 'no-useless-rename': ['error', {'ignoreImport': False, 'ignoreExport': False, 'ignoreDestructuring': False}], 'object-shorthand': ['error', {'avoidQuotes': False, 'ignoreConstructors': False, 'methodsIgnorePattern': '', 'avoidExplicitReturnArrows': False}], 'no-undefined': 'error', 'no-constructor-return': 'error', 'no-prototype-builtins': 'error', 'no-dupe-keys': 'error', 'vars-on-top': 'error', 'no-const-assign': 'error', 'no-class-assign': 'error'}",valid config part
3.4.2.3 Mutability of exports,"Exported variables must not be mutated outside of module initialization.
 There are alternatives if mutation is needed, including exporting a constant reference to an object that has mutable fields or exporting accessor functions for mutable data.
 // Bad: both foo and mutateFoo are exported and mutated.
 export let /** number */ foo = 0;
 
 /**
  * Mutates foo.
  */
 export function mutateFoo() {
  ++foo;
 }
 
 /**
  * @param {function(number): number} newMutateFoo
  */
 export function setMutateFoo(newMutateFoo) {
  // Exported classes and functions can be mutated!
  mutateFoo = () => {
  foo = newMutateFoo(foo);
  };
 }
 
 // Good: Rather than export the mutable variables foo and mutateFoo directly,
 // instead make them module scoped and export a getter for foo and a wrapper for
 // mutateFooFunc.
 let /** number */ foo = 0;
 let /** function(number): number */ mutateFooFunc = foo => foo + 1;
 
 /** @return {number} */
 export function getFoo() {
  return foo;
 }
 
 export function mutateFoo() {
  foo = mutateFooFunc(foo);
 }
 
 /** @param {function(number): number} mutateFoo */
 export function setMutateFoo(mutateFoo) {
  mutateFooFunc = mutateFoo;
 }",,Yes,"{'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-undef-init': 'error', 'no-redeclare': ['error', {'builtinGlobals': True}], 'no-const-assign': 'error', 'no-duplicate-imports': ['error', {'includeExports': False}], 'no-multi-assign': ['error', {'ignoreNonDeclaration': False}], 'no-param-reassign': ['error', {'props': True, 'ignorePropertyModificationsFor': [], 'ignorePropertyModificationsForRegex': []}], 'no-class-assign': 'error', 'no-func-assign': 'error', 'no-undefined': 'error', 'no-global-assign': ['error', {'exceptions': []}], 'prefer-const': ['error', {'destructuring': 'any', 'ignoreReadBeforeAssign': False}], 'no-loop-func': 'error', 'one-var': ['error', {'var': 'never', 'let': 'never', 'const': 'never'}], 'no-useless-rename': ['error', {'ignoreImport': False, 'ignoreExport': False, 'ignoreDestructuring': False}], 'no-unused-vars': ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': True}], 'no-new-native-nonconstructor': 'error', 'no-var': 'error', 'no-dupe-class-members': 'error'}",valid config part
3.4.2.4 export from,"`exportfrom` statements must not be line wrapped and are therefore an exception to the 80-column limit. This applies to both `exportfrom` flavors.
 export {specificName} from './other.js';
 export * from './another.js';","{'max-len': ['error', {'code': 80, 'ignorePattern': 'OurSetDefault'}]}",Yes,"{'max-len': [{'code': 80, 'ignorePattern': '^export\\s+\\{.*\\}\\s+from\\s+[\'""].*[\'""];?$|^export\\s+\\*\\s+from\\s+[\'""].*[\'""];?$'}]}",valid config part
