rule_name,description,benchmark,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
3.3.4 No static import for classes,Static import is not used for static nested classes. They are imported with normal imports.,,Yes,"<module name='AvoidStaticImport'>
        <property name='illegalClasses' value='*'/>
    </module>",,,,,,,,,,
3.4.1 Exactly one top-level class declaration,Each top-level class resides in a source file of its own.,"{'modulename': 'OneTopLevelClass'}
{'modulename': 'OuterTypeFilename'}",Yes,{'modulename': 'OneTopLevelClass'},true,OneTopLevelClass,,OuterTypeFilename,OneTopLevelClass,,OuterTypeFilename,OneTopLevelClass,,OuterTypeFilename
3.4.2 Ordering of class contents,"The order you choose for the members and initializers of your class can have a great effect on learnability. However, there's no single correct recipe for how to do it; different classes may order their contents in different ways.
 What is important is that each class uses 
 some logical order , which its maintainer could explain if asked. For example, new methods are not just habitually added to the end of the class, as that would yield ""chronological by date added"" ordering, which is not a logical ordering.",{'modulename': 'DeclarationOrder'},Yes,"{'modulename': 'DeclarationOrder', 'id': 'declarationOrder', 'order': 'public, protected, private, static, final, transient, volatile, synchronized, native, abstract, strictfp'}
{'modulename': 'InnerTypeLast', 'id': 'innerTypeLast'}",true,DeclarationOrder,InnerTypeLast,,,"DeclarationOrder
InnerTypeLast",DeclarationOrder,DeclarationOrder,InnerTypeLast,
4 Formatting,"Terminology Note: 
 block-like construct refers to the body of a class, method or constructor. Note that, by Section 4.8.3.1 on array initializers , any array initializer may optionally be treated as if it were a block-like construct.",,Yes,"<module name='Indentation'>
        <property name='basicOffset' value='4'/>
        <property name='braceAdjustment' value='0'/>
        <property name='caseIndent' value='4'/>
        <property name='throwsIndent' value='4'/>
        <property name='lineWrappingIndentation' value='8'/>
        <property name='arrayInitIndent' value='4'/>
        <property name='blockLikeConstructs' value='true'/>
    </module>
    
<module name='LeftCurly'>
        <property name='option' value='eol'/>
        <property name='tokens' value='LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_STATIC, CLASS_DEF, METHOD_DEF, CTOR_DEF, INSTANCE_INIT, STATIC_INIT, ANNOTATION_DEF, ENUM_DEF, RECORD_DEF, INTERFACE_DEF, ARRAY_INIT'/>
    </module>
    
<module name='RightCurly'>
        <property name='option' value='same'/>
        <property name='tokens' value='LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_STATIC, CLASS_DEF, METHOD_DEF, CTOR_DEF, INSTANCE_INIT, STATIC_INIT, ANNOTATION_DEF, ENUM_DEF, RECORD_DEF, INTERFACE_DEF, ARRAY_INIT'/>
    </module>",,,,,,,,,,
4.1.1 Use of optional braces,"Braces are used with `if` , `else` , `for` , `do` and `while` statements, even when the body is empty or contains only a single statement.
 Other optional braces, such as those in a lambda expression, remain optional.","{'modulename': 'NeedBraces', 'allowEmptyLoopBody': 'false', 'allowSingleLineStatement': 'false', 'tokens': 'LITERAL_DO, LITERAL_ELSE, LITERAL_FOR, LITERAL_IF, LITERAL_WHILE'}",Yes,"{'modulename': 'NeedBraces', 'tokens': 'LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_DO, LITERAL_WHILE'}",true,NeedBraces,,,NeedBraces,,,NeedBraces,,
4.1.2 Nonempty blocks: K & R style,"Braces follow the Kernighan and Ritchie style ("" Egyptian brackets "") for nonempty blocks and block-like constructs:
 No line break before the opening brace, except as detailed below. 
 Line break after the opening brace. 
 Line break before the closing brace. 
 Line break after the closing brace, only if that brace terminates a statement or terminates the body of a method, constructor, or named class. For example, there is no line break after the brace if it is followed by `else` or a comma.
 Exception: In places where these rules allow a single statement ending with a semicolon ( `;` ), a block of statements can appear, and the opening brace of this block is preceded by a line break. Blocks like these are typically introduced to limit the scope of local variables, for example inside switch statements.
 Examples:
 return () -> {
  while (condition()) {
  method();
  }
 };
 

 return new MyClass() {
  @Override public void method() {
  if (condition()) {
  try {
  something();
  } catch (ProblemException e) {
  recover();
  }
  } else if (otherCondition()) {
  somethingElse();
  } else {
  lastThing();
  }
  {
  int x = foo();
  frob(x);
  }
  }
 };
 

 A few exceptions for enum classes are given in Section 4.8.1, Enum classes .","{'modulename': 'LeftCurly', 'ignoreEnums': 'true', 'tokens': 'ANNOTATION_DEF , CLASS_DEF , CTOR_DEF , ENUM_CONSTANT_DEF , ENUM_DEF , INTERFACE_DEF , LAMBDA , LITERAL_CASE , LITERAL_CATCH , LITERAL_DEFAULT , LITERAL_DO , LITERAL_ELSE , LITERAL_FINALLY , LITERAL_FOR , LITERAL_IF , LITERAL_SWITCH , LITERAL_SYNCHRONIZED , LITERAL_TRY , LITERAL_WHILE , METHOD_DEF , OBJBLOCK , STATIC_INIT , RECORD_DEF , COMPACT_CTOR_DEF', 'option': 'eol'}
{'modulename': 'RightCurly', 'id': 'RightCurlySame', 'option': 'same', 'tokens': 'LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE, LITERAL_DO'}
{'modulename': 'RightCurly', 'id': 'RightCurlyAlone', 'option': 'alone', 'tokens': 'CLASS_DEF, METHOD_DEF, CTOR_DEF, LITERAL_FOR, LITERAL_WHILE, STATIC_INIT, INSTANCE_INIT, ANNOTATION_DEF, ENUM_DEF, INTERFACE_DEF, RECORD_DEF, COMPACT_CTOR_DEF, LITERAL_SWITCH, LITERAL_CASE'}",Yes,"{'modulename': 'LeftCurly', 'option': 'eol', 'tokens': 'LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_STATIC, INSTANCE_INIT, CLASS_DEF, METHOD_DEF, CTOR_DEF, ENUM_DEF, INTERFACE_DEF, ANNOTATION_DEF, RECORD_DEF, LAMBDA'}
{'modulename': 'RightCurly', 'option': 'alone', 'tokens': 'LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY, LITERAL_IF, LITERAL_ELSE, LITERAL_FOR, LITERAL_WHILE, LITERAL_DO, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_STATIC, INSTANCE_INIT, CLASS_DEF, METHOD_DEF, CTOR_DEF, ENUM_DEF, INTERFACE_DEF, ANNOTATION_DEF, RECORD_DEF, LAMBDA'}",true,"LeftCurly
RightCurly",,RightCurly,"LeftCurly
RightCurly",,RightCurly,,"LeftCurly
RightCurly","LeftCurly
RightCurly
RightCurly"
4.1.3 Empty blocks: may be concise,"An empty block or block-like construct may be in K & R style (as described in Section 4.1.2 ). Alternatively, it may be closed immediately after it is opened, with no characters or line break in between ( `{}` ), unless it is part of a multi-block statement (one that directly contains multiple blocks: `if/else` or `try/catch/finally` ).
 Examples:
  // This is acceptable
  void doNothing() {}
 

  // This is equally acceptable
  void doNothingElse() {
  }
 

  // This is not acceptable: No concise empty blocks in a multi-block statement
  try {
  doSomething();
  } catch (Exception e) {}",,Yes,"<module name='EmptyBlock'>
        <property name='option' value='text'/>
        <property name='tokens' value='LITERAL_TRY, LITERAL_CATCH, LITERAL_FINALLY'/>
    </module>",,,,,,,,,,
4.2 Block indentation: +2 spaces,"Each time a new block or block-like construct is opened, the indent increases by two spaces. When the block ends, the indent returns to the previous indent level. The indent level applies to both code and comments throughout the block. (See the example in Section 4.1.2, Nonempty blocks: K & R Style .)","{'modulename': 'Indentation', 'basicOffset': '2'}
{'modulename': 'CommentsIndentation', 'tokens': 'SINGLE_LINE_COMMENT, BLOCK_COMMENT_BEGIN'}",Yes,"{'modulename': 'Indentation', 'basicOffset': '2', 'braceAdjustment': '0', 'caseIndent': '2', 'throwsIndent': '4', 'lineWrappingIndentation': '2'}
{'modulename': 'CommentsIndentation', 'basicOffset': '2'}",true,"Indentation
CommentsIndentation",,,Indentation,CommentsIndentation,CommentsIndentation,CommentsIndentation,Indentation,Indentation
4.3 One statement per line,Each statement is followed by a line break.,{'modulename': 'OneStatementPerLine'},Yes,{'modulename': 'OneStatementPerLine'},true,OneStatementPerLine,,,OneStatementPerLine,,,OneStatementPerLine,,
4.4 Column limit: 100,"Java code has a column limit of 100 characters. A ""character"" means any Unicode code point. Except as noted below, any line that would exceed this limit must be line-wrapped, as explained in Section 4.5, Line-wrapping .
 Each Unicode code point counts as one character, even if its display width is greater or less. For example, if using fullwidth characters , you may choose to wrap the line earlier than where this rule strictly requires.
 Exceptions:
 Lines where obeying the column limit is not possible (for example, a long URL in Javadoc, or a long JSNI method reference). 
 `package` and `import` statements (see Sections 3.2 Package statement and 3.3 Import statements ). 
 Command lines in a comment that may be copied-and-pasted into a shell. 
 Very long identifiers, on the rare occasions they are called for, are allowed to exceed the column limit. In that case, the valid wrapping for the surrounding code is as produced by google-java-format .","{'modulename': 'LineLength', 'max': '100', 'ignorePattern': 'OurSetDefault'}",Yes,"{'modulename': 'LineLength', 'max': '100', 'ignorePattern': '^package\\\\s|^import\\\\s|a long URL in Javadoc|a long JSNI method reference|Command lines in a comment|Very long identifiers'}",true,LineLength,,,LineLength,,,LineLength,,
4.5 Line-wrapping,"Terminology Note: When code that might otherwise legally occupy a single line is divided into multiple lines, this activity is called line-wrapping .
 There is no comprehensive, deterministic formula showing exactly how to line-wrap in every situation. Very often there are several valid ways to line-wrap the same piece of code.
 Note: While the typical reason for line-wrapping is to avoid overflowing the column limit, even code that would in fact fit within the column limit may be line-wrapped at the author's discretion.
 Tip: Extracting a method or local variable may solve the problem without the need to line-wrap.",,Yes,"<module name='LineLength'>
        <property name='max' value='80'/>
    </module>
    
<module name='OperatorWrap'>
        <property name='option' value='NL'/>
    </module>
    
<module name='SeparatorWrap'>
        <property name='option' value='NL'/>
    </module>",,,,,,,,,,
4.5.1 Where to break,"The prime directive of line-wrapping is: prefer to break at a higher syntactic level . Also:
 When a line is broken at a non-assignment operator the break comes before the symbol. (Note that this is not the same practice used in Google style for other languages, such as C++ and JavaScript.) 
 This also applies to the following ""operator-like"" symbols: 
 the dot separator ( `.` ) 
 the two colons of a method reference ( `::` ) 
 an ampersand in a type bound ( `<TextendsFoo&Bar>` ) 
 a pipe in a catch block ( `catch(FooException|BarExceptione)` ). 
 When a line is broken at an assignment operator the break typically comes after the symbol, but either way is acceptable. 
 This also applies to the ""assignment-operator-like"" colon in an enhanced `for` (""foreach"") statement. 
 A method or constructor name stays attached to the open parenthesis ( `(` ) that follows it. 
 A comma ( `,` ) stays attached to the token that precedes it. 
 A line is never broken adjacent to the arrow in a lambda, except that a break may come immediately after the arrow if the body of the lambda consists of a single unbraced expression. Examples:
 MyLambda<String, Long, Object> lambda =
  (String label, Long value, Object obj) -> {
  ...
  };
 

 Predicate<String> predicate = str ->
  longExpressionInvolving(str);
 

 Note: The primary goal for line wrapping is to have clear code, not necessarily code that fits in the smallest number of lines.","{'modulename': 'OperatorWrap', 'option': 'NL', 'tokens': 'QUESTION, EQUAL, NOT_EQUAL, DIV, PLUS, MINUS, STAR, MOD, SR, BSR, GE, GT, SL, LE, LT, BXOR ,BOR ,LOR ,BAND ,LAND ,LITERAL_INSTANCEOF ,TYPE_EXTENSION_AND, METHOD_REF '}
{'modulename': 'SeparatorWrap', 'id': 'SeparatorWrapNL', 'tokens': 'DOT, METHOD_REF', 'option': 'nl'}
{'modulename': 'SeparatorWrap', 'id': 'SeparatorWrapEOL', 'tokens': 'COMMA, LPAREN', 'option': 'EOL'}
{'modulename': 'MethodParamPad', 'allowLineBreaks': 'true', 'option': 'space', 'tokens': 'CTOR_DEF, LITERAL_NEW, METHOD_CALL, METHOD_DEF, SUPER_CTOR_CALL, ENUM_CONSTANT_DEF, RECORD_DEF'}",Yes,"{'modulename': 'OperatorWrap', 'option': 'NL', 'tokens': 'ASSIGN, BAND, BOR, BXOR, DIV, EQUAL, GE, GT, LAND, LE, LITERAL_INSTANCEOF, LOR, LT, MINUS, MOD, NOT_EQUAL, PLUS, QUESTION, SL, SR, STAR, TYPE_EXTENSION_AND, TYPE_EXTENSION_OR, UNSIGNED_SR'}
{'modulename': 'SeparatorWrap', 'option': 'NL', 'tokens': 'COMMA, DOT, METHOD_REF, TYPE_EXTENSION_AND, TYPE_EXTENSION_OR, LAMBDA'}",true,"OperatorWrap
SeparatorWrap",,"SeparatorWrap
MethodParamPad","OperatorWrap
SeparatorWrap",,"SeparatorWrap
MethodParamPad",,"OperatorWrap
SeparatorWrap","OperatorWrap
SeparatorWrap
SeparatorWrap
MethodParamPad"
4.5.2 Indent continuation lines at least +4 spaces,"When line-wrapping, each line after the first (each continuation line ) is indented at least +4 from the original line.
 When there are multiple continuation lines, indentation may be varied beyond +4 as desired. In general, two continuation lines use the same indentation level if and only if they begin with syntactically parallel elements.
 Section 4.6.3 on Horizontal alignment addresses the discouraged practice of using a variable number of spaces to align certain tokens with previous lines.","{'modulename': 'Indentation', 'forceStrictCondition': 'false'}",Yes,"{'modulename': 'Indentation', 'basicOffset': '4', 'lineWrappingIndentation': '4'}
{'modulename': 'JavadocTagContinuationIndentation', 'indentation': '4'}",true,Indentation,JavadocTagContinuationIndentation,,Indentation,JavadocTagContinuationIndentation,,Indentation,JavadocTagContinuationIndentation,
4.6.1 Vertical Whitespace,"A single blank line always appears:
 Between consecutive members or initializers of a class: fields, constructors, methods, nested classes, static initializers, and instance initializers. 
 Exception: A blank line between two consecutive fields (having no other code between them) is optional. Such blank lines are used as needed to create logical groupings of fields. 
 Exception: Blank lines between enum constants are covered in Section 4.8.1 . 
 As required by other sections of this document (such as Section 3, Source file structure , and Section 3.3, Import statements ).
 A single blank line may also appear anywhere it improves readability, for example between statements to organize the code into logical subsections. A blank line before the first member or initializer, or after the last member or initializer of the class, is neither encouraged nor discouraged.
 Multiple consecutive blank lines are permitted, but never required (or encouraged).","{'modulename': 'EmptyLineSeparator', 'tokens': 'CLASS_DEF, STATIC_INIT, INSTANCE_INIT, METHOD_DEF, CTOR_DEF, COMPACT_CTOR_DEF', 'allowNoEmptyLineBetweenFields': 'true'}",Yes,"{'modulename': 'EmptyLineSeparator', 'tokens': 'PACKAGE_DEF, IMPORT, CLASS_DEF, INTERFACE_DEF, ENUM_DEF, METHOD_DEF, CTOR_DEF, VARIABLE_DEF, STATIC_INIT, INSTANCE_INIT, ANNOTATION_DEF'}",true,EmptyLineSeparator,,,EmptyLineSeparator,,,,EmptyLineSeparator,EmptyLineSeparator
4.6.2 Horizontal whitespace,"Beyond where required by the language or other style rules, and apart from literals, comments and Javadoc, a single ASCII space also appears in the following places only .
 Separating any reserved word, such as `if` , `for` or `catch` , from an open parenthesis ( `(` ) that follows it on that line 
 Separating any reserved word, such as `else` or `catch` , from a closing curly brace ( `}` ) that precedes it on that line 
 Before any open curly brace ( `{` ), with two exceptions: 
 `@SomeAnnotation({a,b})` (no space is used) 
 `String[][]x={{""foo""}};` (no space is required between `{{` , by item 9 below) 
 On both sides of any binary or ternary operator. This also applies to the following ""operator-like"" symbols: 
 the ampersand in a conjunctive type bound: `<TextendsFoo&Bar>` 
 the pipe for a catch block that handles multiple exceptions: `catch(FooException|BarExceptione)` 
 the colon ( `:` ) in an enhanced `for` (""foreach"") statement 
 the arrow in a lambda expression: `(Stringstr)->str.length()` 
 but not 
 the two colons ( `::` ) of a method reference, which is written like `Object::toString` 
 the dot separator ( `.` ), which is written like `object.toString()` 
 After `,:;` or the closing parenthesis ( `)` ) of a cast 
 Between any content and a double slash ( `//` ) which begins a comment. Multiple spaces are allowed. 
 Between a double slash ( `//` ) which begins a comment and the comment's text. Multiple spaces are allowed. 
 Between the type and variable of a declaration: `List<String>list` 
 Optional just inside both braces of an array initializer 
 `newint[]{5,6}` and `newint[]{5,6}` are both valid 
 Between a type annotation and `[]` or `...` .
 This rule is never interpreted as requiring or forbidding additional space at the start or end of a line; it addresses only interior space.","{'modulename': 'WhitespaceAround', 'allowEmptyConstructors': 'true', 'allowEmptyLambdas': 'true', 'allowEmptyMethods': 'true', 'allowEmptyTypes': 'true', 'allowEmptyLoops': 'true', 'ignoreEnhancedForColon': 'false', 'tokens': ' ASSIGN, BAND, BAND_ASSIGN, BOR, BOR_ASSIGN, BSR, BSR_ASSIGN, BXOR, BXOR_ASSIGN, COLON, DIV, DIV_ASSIGN, DO_WHILE, EQUAL, GE, GT, LAMBDA, LAND, LCURLY, LE, LITERAL_CATCH, LITERAL_DO, LITERAL_ELSE, LITERAL_FINALLY, LITERAL_FOR, LITERAL_IF, LITERAL_RETURN, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_TRY, LITERAL_WHILE, LOR, LT, MINUS, MINUS_ASSIGN, MOD, MOD_ASSIGN, NOT_EQUAL, PLUS, PLUS_ASSIGN, QUESTION, RCURLY, SL, SLIST, SL_ASSIGN, SR, SR_ASSIGN, STAR, STAR_ASSIGN, LITERAL_ASSERT, TYPE_EXTENSION_AND'}
{'modulename': 'ParenPad', 'tokens': 'ANNOTATION, ANNOTATION_FIELD_DEF, CTOR_CALL, CTOR_DEF, DOT, ENUM_CONSTANT_DEF, EXPR, LITERAL_CATCH, LITERAL_DO, LITERAL_FOR, LITERAL_IF, LITERAL_NEW, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_WHILE, METHOD_CALL, METHOD_DEF, QUESTION, RESOURCE_SPECIFICATION, SUPER_CTOR_CALL, LAMBDA, RECORD_DEF'}
{'modulename': 'WhitespaceAfter', 'tokens': 'COMMA, SEMI, TYPECAST, LITERAL_IF, LITERAL_ELSE, LITERAL_RETURN, LITERAL_WHILE, LITERAL_DO, LITERAL_FOR, LITERAL_FINALLY, DO_WHILE, ELLIPSIS, LITERAL_SWITCH, LITERAL_SYNCHRONIZED, LITERAL_TRY, LITERAL_CATCH, LAMBDA, LITERAL_YIELD, LITERAL_CASE'}
{'modulename': 'NoWhitespaceBefore', 'tokens': 'COMMA, SEMI, POST_INC, POST_DEC, DOT, LABELED_STAT, METHOD_REF', 'allowLineBreaks': 'true'}
{'modulename': 'NoWhitespaceBeforeCaseDefaultColon'}",Yes,<module name='WhitespaceAfter'>,false,,,"WhitespaceAround
ParenPad
WhitespaceAfter
NoWhitespaceBefore
NoWhitespaceBeforeCaseDefaultColon",,,"WhitespaceAround
ParenPad
WhitespaceAfter
NoWhitespaceBefore
NoWhitespaceBeforeCaseDefaultColon",,,"WhitespaceAround
ParenPad
WhitespaceAfter
NoWhitespaceBefore
NoWhitespaceBeforeCaseDefaultColon"
4.6.3 Horizontal alignment: never required,"Terminology Note: 
 Horizontal alignment is the practice of adding a variable number of additional spaces in your code with the goal of making certain tokens appear directly below certain other tokens on previous lines.
 This practice is permitted, but is never required by Google Style. It is not even required to maintain horizontal alignment in places where it was already used.
 Here is an example without alignment, then using alignment:
 private int x; // this is fine
 private Color color; // this too
 

 private int  x; // permitted, but future edits
 private Color color; // may leave it unaligned
 

 Tip: Alignment can aid readability, but it creates problems for future maintenance. Consider a future change that needs to touch just one line. This change may leave the formerly-pleasing formatting mangled, and that is allowed . More often it prompts the coder (perhaps you) to adjust whitespace on nearby lines as well, possibly triggering a cascading series of reformattings. That one-line change now has a ""blast radius."" This can at worst result in pointless busywork, but at best it still corrupts version history information, slows down reviewers and exacerbates merge conflicts.",,Yes,"<module name='Indentation'>
        <property name='basicOffset' value='4'/>
        <property name='braceAdjustment' value='0'/>
        <property name='caseIndent' value='4'/>
        <property name='throwsIndent' value='4'/>
        <property name='lineWrappingIndentation' value='8'/>
        <property name='arrayInitIndent' value='4'/>
        <property name='lineWrappingIndentation' value='8'/>
    </module>",,,,,,,,,,
4.7 Grouping parentheses: recommended,"Optional grouping parentheses are omitted only when author and reviewer agree that there is no reasonable chance the code will be misinterpreted without them, nor would they have made the code easier to read. It is not reasonable to assume that every reader has the entire Java operator precedence table memorized.",{'modulename': 'UnnecessaryParentheses'},Yes,"{'modulename': 'UnnecessaryParentheses', 'ignoreClarifying': 'true'}",true,UnnecessaryParentheses,,,,UnnecessaryParentheses,UnnecessaryParentheses,UnnecessaryParentheses,,
