rule_name,description,benchmark,benchmark_default,benchmark_third,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
3.3.3 goog.module Exports,"Classes, enums, functions, constants, and other symbols are exported using the `exports` object. Exported symbols may be defined directly on the `exports` object, or else declared locally and exported separately. Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.
 Examples:
 const /** !Array<number> */ exportedArray = [1, 2, 3];
 
 const /** !Array<number> */ moduleLocalArray = [4, 5, 6];
 
 /** @return {number} */
 function moduleLocalFunction() {
  return moduleLocalArray.length;
 }
 
 /** @return {number} */
 function exportedFunction() {
  return moduleLocalFunction() * 2;
 }
 
 exports = {exportedArray, exportedFunction};
 
 /** @const {number} */
 exports.CONSTANT_ONE = 1;
 
 /** @const {string} */
 exports.CONSTANT_TWO = 'Another constant';
 
 Do not annotate the `exports` object as `@const` as it is already treated as a constant by the compiler.
 /** @const */
 exports = {exportedFunction};",,,,"no-implicit-globals: error
no-use-before-define: ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}]
no-duplicate-imports: ['error', {'includeExports': False}]
no-new-native-nonconstructor: error
no-restricted-exports: ['error', {'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': False, 'named': False, 'defaultFrom': False, 'namedFrom': False, 'namespaceFrom': False}}]
no-obj-calls: error
no-undefined: error
no-unused-vars: ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': False}]
global-require: error
one-var: ['error', {'var': 'always', 'let': 'always', 'const': 'always'}]
no-redeclare: ['error', {'builtinGlobals': True}]
no-undef: ['error', {'typeof': False}]
no-dupe-class-members: error
no-global-assign: ['error', {'exceptions': []}]
no-shadow-restricted-names: error
no-undef-init: error
no-shadow: ['error', {'builtinGlobals': False, 'hoist': 'functions', 'allow': [], 'ignoreOnInitialization': False}]
no-mixed-requires: ['error', {'grouping': False, 'allowCall': False}]
dot-notation: ['error', {'allowKeywords': True, 'allowPattern': ''}]","{'no-implicit-globals': 'error', 'no-use-before-define': ['error', {'functions': True, 'classes': True, 'variables': True, 'allowNamedExports': False}], 'no-duplicate-imports': ['error', {'includeExports': False}], 'no-new-native-nonconstructor': 'error', 'no-restricted-exports': ['error', {'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': False, 'named': False, 'defaultFrom': False, 'namedFrom': False, 'namespaceFrom': False}}], 'no-obj-calls': 'error', 'no-undefined': 'error', 'no-unused-vars': ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': False}], 'global-require': 'error', 'one-var': ['error', {'var': 'always', 'let': 'always', 'const': 'always'}], 'no-redeclare': ['error', {'builtinGlobals': True}], 'no-undef': ['error', {'typeof': False}], 'no-dupe-class-members': 'error', 'no-global-assign': ['error', {'exceptions': []}], 'no-shadow-restricted-names': 'error', 'no-undef-init': 'error', 'no-shadow': ['error', {'builtinGlobals': False, 'hoist': 'functions', 'allow': [], 'ignoreOnInitialization': False}], 'no-mixed-requires': ['error', {'grouping': False, 'allowCall': False}], 'dot-notation': ['error', {'allowKeywords': True, 'allowPattern': ''}]}",true,,"no-implicit-globals
no-use-before-define
no-duplicate-imports
no-new-native-nonconstructor
no-restricted-exports
no-obj-calls
no-undefined
no-unused-vars
global-require
one-var
no-redeclare
no-undef
no-dupe-class-members
no-global-assign
no-shadow-restricted-names
no-undef-init
no-shadow
no-mixed-requires
dot-notation",,,"no-implicit-globals
no-use-before-define
no-duplicate-imports
no-new-native-nonconstructor
no-restricted-exports
no-obj-calls
no-undefined
no-unused-vars
global-require
one-var
no-redeclare
no-undef
no-dupe-class-members
no-global-assign
no-shadow-restricted-names
no-undef-init
no-shadow
no-mixed-requires
dot-notation",,,"no-implicit-globals
no-use-before-define
no-duplicate-imports
no-new-native-nonconstructor
no-restricted-exports
no-obj-calls
no-undefined
no-unused-vars
global-require
one-var
no-redeclare
no-undef
no-dupe-class-members
no-global-assign
no-shadow-restricted-names
no-undef-init
no-shadow
no-mixed-requires
dot-notation",
3.4.1 Imports,Import statements must not be line wrapped and are therefore an exception to the 80-column limit.,"max-len: ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]","max-len: ['error', {'code': 'OurSetDefault', 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]",,"no-duplicate-imports: error
max-len: ['error', {'code': 80, 'ignorePattern': '^import\\s.+\\sfrom\\s.+;$'}]","{'no-duplicate-imports': 'error', 'max-len': ['error', {'code': 80, 'ignorePattern': '^import\\s.+\\sfrom\\s.+;$'}]}",true,max-len,no-duplicate-imports,,max-len,no-duplicate-imports,,max-len,no-duplicate-imports,
3.4.1.1 Import paths,"ES module files must use the `import` statement to import other ES module files. Do not `goog.require` another ES module.
 import './sideeffects.js';
 
 import * as goog from '../closure/goog/goog.js';
 import * as parent from '../parent.js';
 
 import {name} from './sibling.js';","no-restricted-syntax: [{'selector': 'CallExpression[callee.object.name=""goog""][callee.property.name=""require""]', 'message': 'OurSetDefault'}]","no-restricted-syntax: [{'selector': 'CallExpression[callee.object.name=""goog""][callee.property.name=""require""]', 'message': 'OurSetDefault'}]",,"global-require: error
no-duplicate-imports: ['error', {'includeExports': False}]
no-restricted-imports: ['error', {'paths': [], 'patterns': []}]
sort-imports: ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}]
no-import-assign: error
no-useless-rename: ['error', {'ignoreImport': False, 'ignoreExport': False, 'ignoreDestructuring': False}]","{'global-require': 'error', 'no-duplicate-imports': ['error', {'includeExports': False}], 'no-restricted-imports': ['error', {'paths': [], 'patterns': []}], 'sort-imports': ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}], 'no-import-assign': 'error', 'no-useless-rename': ['error', {'ignoreImport': False, 'ignoreExport': False, 'ignoreDestructuring': False}]}",true,,"global-require
no-duplicate-imports
no-restricted-imports
sort-imports
no-import-assign
no-useless-rename",no-restricted-syntax,,"global-require
no-duplicate-imports
no-restricted-imports
sort-imports
no-import-assign
no-useless-rename",no-restricted-syntax,,"global-require
no-duplicate-imports
no-restricted-imports
sort-imports
no-import-assign
no-useless-rename",no-restricted-syntax
3.4.1.1.1 File extensions in import paths,"The `.js` file extension is not optional in import paths and must always be included.
 import '../directory/file';
 
 import '../directory/file.js';",,,,"import/extensions: ['error', 'always', {'js': 'always'}]","{'import/extensions': ['error', 'always', {'js': 'always'}]}",true,,import/extensions,,,import/extensions,,,import/extensions,
3.4.1.2 Importing the same file multiple times,"Do not import the same file multiple times. This can make it hard to determine the aggregate imports of a file.
 // Imports have the same path, but since it doesn't align it can be hard to see.
 import {short} from './long/path/to/a/file.js';
 import {aLongNameThatBreaksAlignment} from './long/path/to/a/file.js';","no-duplicate-imports: ['error', {'includeExports': 'OurSetDefault'}]","no-duplicate-imports: ['error', {'includeExports': 'OurSetDefault'}]",,no-duplicate-imports: ['error'],{'no-duplicate-imports': ['error']},true,no-duplicate-imports,,,no-duplicate-imports,,,no-duplicate-imports,,
3.4.1.3.1 Naming module imports,"Module import names ( `import*asname` ) are `lowerCamelCase` names that are derived from the imported file name.
 import * as fileOne from '../file-one.js';
 import * as fileTwo from '../file_two.js';
 import * as fileThree from '../filethree.js';
 
 import * as libString from './lib/string.js';
 import * as math from './math/math.js';
 import * as vectorMath from './vector/math.js';",,,,"camelcase: ['error', {'ignoreImports': False}]","{'camelcase': ['error', {'ignoreImports': False}]}",true,,camelcase,,,camelcase,,,camelcase,
3.4.1.3.2 Naming default imports,"Default import names are derived from the imported file name and follow the rules in ?? .
 import MyClass from '../my-class.js';
 import myFunction from '../my_function.js';
 import SOME_CONSTANT from '../someconstant.js';
 
 Note: In general this should not happen as default exports are banned by this style guide, see ?? . Default imports are only used to import modules that do not conform to this style guide.",,,,"no-duplicate-imports: error
sort-imports: ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}]
camelcase: ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False}]","{'no-duplicate-imports': 'error', 'sort-imports': ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}], 'camelcase': ['error', {'properties': 'always', 'ignoreDestructuring': False, 'ignoreImports': False, 'ignoreGlobals': False}]}",true,,"no-duplicate-imports
sort-imports
camelcase",,,"no-duplicate-imports
sort-imports
camelcase",,,"no-duplicate-imports
sort-imports
camelcase",
3.4.1.3.3 Naming named imports,"In general symbols imported via the named import ( `import{name}` ) should keep the same name. Avoid aliasing imports ( `import{SomeThingasSomeOtherThing}` ). Prefer fixing name collisions by using a module import ( `import*` ) or renaming the exports themselves.
 import * as bigAnimals from './biganimals.js';
 import * as domesticatedAnimals from './domesticatedanimals.js';
 
 new bigAnimals.Cat();
 new domesticatedAnimals.Cat();
 
 If renaming a named import is needed then use components of the imported module's file name or path in the resulting alias.
 import {Cat as BigCat} from './biganimals.js';
 import {Cat as DomesticatedCat} from './domesticatedanimals.js';
 
 new BigCat();
 new DomesticatedCat();",,,,"no-useless-rename: ['error', {'ignoreImport': False, 'ignoreExport': False, 'ignoreDestructuring': False}]
no-duplicate-imports: ['error', {'includeExports': False}]
sort-imports: ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}]","{'no-useless-rename': ['error', {'ignoreImport': False, 'ignoreExport': False, 'ignoreDestructuring': False}], 'no-duplicate-imports': ['error', {'includeExports': False}], 'sort-imports': ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}]}",true,,"no-useless-rename
no-duplicate-imports
sort-imports",,,"no-useless-rename
no-duplicate-imports
sort-imports",,,"no-useless-rename
no-duplicate-imports
sort-imports",
3.4.2 Exports,Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.,,,,"no-implicit-globals: ['error', {'lexicalBindings': True}]
no-underscore-dangle: ['error', {'allowAfterThis': False, 'allowAfterSuper': False, 'allowAfterThisConstructor': False, 'enforceInMethodNames': False, 'enforceInClassFields': False, 'allowInArrayDestructuring': True, 'allowInObjectDestructuring': True, 'allowFunctionParams': True}]
no-unused-vars: ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': True}]
no-restricted-exports: ['error', {'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': False, 'named': False, 'defaultFrom': False, 'namedFrom': False, 'namespaceFrom': False}}]","{'no-implicit-globals': ['error', {'lexicalBindings': True}], 'no-underscore-dangle': ['error', {'allowAfterThis': False, 'allowAfterSuper': False, 'allowAfterThisConstructor': False, 'enforceInMethodNames': False, 'enforceInClassFields': False, 'allowInArrayDestructuring': True, 'allowInObjectDestructuring': True, 'allowFunctionParams': True}], 'no-unused-vars': ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': True}], 'no-restricted-exports': ['error', {'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': False, 'named': False, 'defaultFrom': False, 'namedFrom': False, 'namespaceFrom': False}}]}",true,,"no-implicit-globals
no-underscore-dangle
no-unused-vars
no-restricted-exports",,,"no-implicit-globals
no-underscore-dangle
no-unused-vars
no-restricted-exports",,,"no-implicit-globals
no-underscore-dangle
no-unused-vars
no-restricted-exports",
3.4.2.1 Named vs default exports,"Use named exports in all code. You can apply the `export` keyword to a declaration, or use the `export{name};` syntax.
 Do not use default exports. Importing modules must give a name to these values, which can lead to inconsistencies in naming across modules.
 // Do not use default exports:
 export default class Foo { ... } // BAD!
 
 // Use named exports:
 export class Foo { ... }
 
 // Alternate style named exports:
 class Foo { ... }
 
 export {Foo};","no-restricted-exports: [{'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': True, 'named': 'OurSetDefault', 'defaultFrom': 'OurSetDefault', 'namedFrom': 'OurSetDefault', 'namespaceFrom': 'OurSetDefault'}}]","no-restricted-exports: [{'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': True, 'named': 'OurSetDefault', 'defaultFrom': 'OurSetDefault', 'namedFrom': 'OurSetDefault', 'namespaceFrom': 'OurSetDefault'}}]",,"no-restricted-exports: [{'restrictDefaultExports': {'direct': True, 'named': True, 'defaultFrom': True, 'namedFrom': True, 'namespaceFrom': True}}]","{'no-restricted-exports': [{'restrictDefaultExports': {'direct': True, 'named': True, 'defaultFrom': True, 'namedFrom': True, 'namespaceFrom': True}}]}",true,no-restricted-exports,,,,no-restricted-exports,no-restricted-exports,,no-restricted-exports,no-restricted-exports
