rule_name,description,benchmark,benchmark_default,gpt_answer,gpt_configuration,valid_config,module_tp,module_fp,module_fn,option_name_tp,option_name_fp,option_name_fn,option_value_tp,option_value_fp,option_value_fn
3.3.3 goog.module Exports,"Classes, enums, functions, constants, and other symbols are exported using the `exports` object. Exported symbols may be defined directly on the `exports` object, or else declared locally and exported separately. Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.
 Examples:
 const /** !Array<number> */ exportedArray = [1, 2, 3];
 
 const /** !Array<number> */ moduleLocalArray = [4, 5, 6];
 
 /** @return {number} */
 function moduleLocalFunction() {
  return moduleLocalArray.length;
 }
 
 /** @return {number} */
 function exportedFunction() {
  return moduleLocalFunction() * 2;
 }
 
 exports = {exportedArray, exportedFunction};
 
 /** @const {number} */
 exports.CONSTANT_ONE = 1;
 
 /** @const {string} */
 exports.CONSTANT_TWO = 'Another constant';
 
 Do not annotate the `exports` object as `@const` as it is already treated as a constant by the compiler.
 /** @const */
 exports = {exportedFunction};",,,Yes,"no-underscore-dangle: ['error', {'allowAfterThis': False}]
no-unused-vars: ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': False}]
no-use-before-define: ['error', {'functions': True, 'classes': True, 'variables': True}]
no-redeclare: ['error', {'builtinGlobals': True}]
no-const-assign: error
no-var: error
prefer-const: ['error', {'destructuring': 'all', 'ignoreReadBeforeAssign': True}]
prefer-arrow-callback: ['error', {'allowNamedFunctions': False, 'allowUnboundThis': True}]
prefer-template: error
object-shorthand: ['error', 'always']
quote-props: ['error', 'as-needed']
quotes: ['error', 'single', {'avoidEscape': True, 'allowTemplateLiterals': True}]
semi: ['error', 'always']
comma-dangle: ['error', 'never']
indent: ['error', 2, {'SwitchCase': 1}]
space-before-function-paren: ['error', 'never']
keyword-spacing: ['error', {'before': True, 'after': True}]
space-infix-ops: error
space-before-blocks: ['error', 'always']
brace-style: ['error', '1tbs', {'allowSingleLine': True}]
block-spacing: ['error', 'always']
arrow-spacing: ['error', {'before': True, 'after': True}]
arrow-parens: ['error', 'as-needed']
no-multi-spaces: error
no-trailing-spaces: error
eol-last: ['error', 'always']
newline-per-chained-call: ['error', {'ignoreChainWithDepth': 2}]
no-mixed-spaces-and-tabs: error
no-whitespace-before-property: error
object-curly-spacing: ['error', 'always']
array-bracket-spacing: ['error', 'never']
computed-property-spacing: ['error', 'never']
func-call-spacing: ['error', 'never']
key-spacing: ['error', {'beforeColon': False, 'afterColon': True}]
comma-spacing: ['error', {'before': False, 'after': True}]
comma-style: ['error', 'last']
dot-location: ['error', 'property']
no-extra-semi: error
no-extra-parens: ['error', 'functions']
no-multiple-empty-lines: ['error', {'max': 1, 'maxEOF': 0}]
no-mixed-operators: ['error', {'groups': [['+', '-', '*', '/', '%', '**'], ['&', '|', '^', '~', '<<', '>>', '>>>'], ['==', '!=', '===', '!==', '>', '>=', '<', '<='], ['&&', '||'], ['in', 'instanceof']], 'allowSamePrecedence': False}]
no-unexpected-multiline: error
no-unreachable: error
no-unsafe-finally: error
no-unsafe-negation: ['error', {'enforceForOrderingRelations': True}]
no-unsafe-optional-chaining: ['error', {'disallowArithmeticOperators': True}]
valid-typeof: ['error', {'requireStringLiterals': True}]
use-isnan: ['error', {'enforceForSwitchCase': True, 'enforceForIndexOf': True}]
no-undef: error
no-undef-init: error
no-shadow: ['error', {'builtinGlobals': False, 'hoist': 'functions', 'allow': []}]
no-shadow-restricted-names: error
no-delete-var: error
no-label-var: error
no-restricted-globals: ['error', 'event', 'fdescribe']
no-restricted-properties: ['error', {'object': 'arguments', 'property': 'callee', 'message': 'arguments.callee is deprecated'}, {'object': 'global', 'property': 'isFinite', 'message': 'Please use Number.isFinite instead'}, {'object': 'self', 'property': 'isFinite', 'message': 'Please use Number.isFinite instead'}, {'object': 'window', 'property': 'isFinite', 'message': 'Please use Number.isFinite instead'}, {'object': 'global', 'property': 'isNaN', 'message': 'Please use Number.isNaN instead'}, {'object': 'self', 'property': 'isNaN', 'message': 'Please use Number.isNaN instead'}, {'object': 'window', 'property': 'isNaN', 'message': 'Please use Number.isNaN instead'}, {'property': '__defineGetter__', 'message': 'Please use Object.defineProperty instead.'}, {'property': '__defineSetter__', 'message': 'Please use Object.defineProperty instead.'}, {'object': 'Math', 'property': 'pow', 'message': 'Use the exponentiation operator (**) instead.'}]
no-restricted-syntax: ['error', 'WithStatement']
no-void: error
no-with: error
no-warning-comments: ['error', {'terms': ['todo', 'fixme', 'xxx'], 'location': 'start'}]
no-useless-escape: error
no-useless-return: error
no-useless-rename: ['error', {'ignoreDestructuring': False, 'ignoreImport': False, 'ignoreExport': False}]
no-useless-constructor: error
no-useless-computed-key: error
no-useless-call: error
no-useless-catch: error
no-useless-backreference: error
no-unused-expressions: ['error', {'allowShortCircuit': True, 'allowTernary': True, 'allowTaggedTemplates': True}]
no-unused-labels: error
no-unused-private-class-members: error
no-unreachable-loop: error
no-unneeded-ternary: ['error', {'defaultAssignment': False}]
no-unmodified-loop-condition: error
no-undefined: error
no-useless-concat: error
one-var: ['error', 'never']
operator-assignment: ['error', 'always']
prefer-destructuring: ['error', {'array': True, 'object': True}, {'enforceForRenamedProperties': False}]
prefer-exponentiation-operator: error
prefer-named-capture-group: error
prefer-numeric-literals: error
prefer-object-has-own: error
prefer-object-spread: error
prefer-promise-reject-errors: ['error', {'allowEmptyReject': True}]
prefer-regex-literals: ['error', {'disallowRedundantWrapping': True}]
prefer-rest-params: error
prefer-spread: error
radix: ['error', 'always']
require-atomic-updates: error
require-await: error
require-unicode-regexp: error
require-yield: error
sort-imports: ['error', {'ignoreCase': False, 'ignoreDeclarationSort': False, 'ignoreMemberSort': False, 'memberSyntaxSortOrder': ['none', 'all', 'multiple', 'single'], 'allowSeparatedGroups': False}]
sort-keys: ['error', 'asc', {'caseSensitive': True, 'natural': False, 'minKeys': 2}]
sort-vars: ['error', {'ignoreCase': False}]
strict: ['error', 'never']
symbol-description: error
unicode-bom: ['error', 'never']
vars-on-top: error
yoda: ['error', 'never', {'exceptRange': True, 'onlyEquality': False}]",true,,"no-underscore-dangle
no-unused-vars
no-use-before-define
no-redeclare
no-const-assign
no-var
prefer-const
prefer-arrow-callback
prefer-template
object-shorthand
quote-props
quotes
semi
comma-dangle
indent
space-before-function-paren
keyword-spacing
space-infix-ops
space-before-blocks
brace-style
block-spacing
arrow-spacing
arrow-parens
no-multi-spaces
no-trailing-spaces
eol-last
newline-per-chained-call
no-mixed-spaces-and-tabs
no-whitespace-before-property
object-curly-spacing
array-bracket-spacing
computed-property-spacing
func-call-spacing
key-spacing
comma-spacing
comma-style
dot-location
no-extra-semi
no-extra-parens
no-multiple-empty-lines
no-mixed-operators
no-unexpected-multiline
no-unreachable
no-unsafe-finally
no-unsafe-negation
no-unsafe-optional-chaining
valid-typeof
use-isnan
no-undef
no-undef-init
no-shadow
no-shadow-restricted-names
no-delete-var
no-label-var
no-restricted-globals
no-restricted-properties
no-restricted-syntax
no-void
no-with
no-warning-comments
no-useless-escape
no-useless-return
no-useless-rename
no-useless-constructor
no-useless-computed-key
no-useless-call
no-useless-catch
no-useless-backreference
no-unused-expressions
no-unused-labels
no-unused-private-class-members
no-unreachable-loop
no-unneeded-ternary
no-unmodified-loop-condition
no-undefined
no-useless-concat
one-var
operator-assignment
prefer-destructuring
prefer-exponentiation-operator
prefer-named-capture-group
prefer-numeric-literals
prefer-object-has-own
prefer-object-spread
prefer-promise-reject-errors
prefer-regex-literals
prefer-rest-params
prefer-spread
radix
require-atomic-updates
require-await
require-unicode-regexp
require-yield
sort-imports
sort-keys
sort-vars
strict
symbol-description
unicode-bom
vars-on-top
yoda",,,"no-underscore-dangle
no-unused-vars
no-use-before-define
no-redeclare
no-const-assign
no-var
prefer-const
prefer-arrow-callback
prefer-template
object-shorthand
quote-props
quotes
semi
comma-dangle
indent
space-before-function-paren
keyword-spacing
space-infix-ops
space-before-blocks
brace-style
block-spacing
arrow-spacing
arrow-parens
no-multi-spaces
no-trailing-spaces
eol-last
newline-per-chained-call
no-mixed-spaces-and-tabs
no-whitespace-before-property
object-curly-spacing
array-bracket-spacing
computed-property-spacing
func-call-spacing
key-spacing
comma-spacing
comma-style
dot-location
no-extra-semi
no-extra-parens
no-multiple-empty-lines
no-mixed-operators
no-unexpected-multiline
no-unreachable
no-unsafe-finally
no-unsafe-negation
no-unsafe-optional-chaining
valid-typeof
use-isnan
no-undef
no-undef-init
no-shadow
no-shadow-restricted-names
no-delete-var
no-label-var
no-restricted-globals
no-restricted-properties
no-restricted-syntax
no-void
no-with
no-warning-comments
no-useless-escape
no-useless-return
no-useless-rename
no-useless-constructor
no-useless-computed-key
no-useless-call
no-useless-catch
no-useless-backreference
no-unused-expressions
no-unused-labels
no-unused-private-class-members
no-unreachable-loop
no-unneeded-ternary
no-unmodified-loop-condition
no-undefined
no-useless-concat
one-var
operator-assignment
prefer-destructuring
prefer-exponentiation-operator
prefer-named-capture-group
prefer-numeric-literals
prefer-object-has-own
prefer-object-spread
prefer-promise-reject-errors
prefer-regex-literals
prefer-rest-params
prefer-spread
radix
require-atomic-updates
require-await
require-unicode-regexp
require-yield
sort-imports
sort-keys
sort-vars
strict
symbol-description
unicode-bom
vars-on-top
yoda",,,"no-underscore-dangle
no-unused-vars
no-use-before-define
no-redeclare
no-const-assign
no-var
prefer-const
prefer-arrow-callback
prefer-template
object-shorthand
quote-props
quotes
semi
comma-dangle
indent
space-before-function-paren
keyword-spacing
space-infix-ops
space-before-blocks
brace-style
block-spacing
arrow-spacing
arrow-parens
no-multi-spaces
no-trailing-spaces
eol-last
newline-per-chained-call
no-mixed-spaces-and-tabs
no-whitespace-before-property
object-curly-spacing
array-bracket-spacing
computed-property-spacing
func-call-spacing
key-spacing
comma-spacing
comma-style
dot-location
no-extra-semi
no-extra-parens
no-multiple-empty-lines
no-mixed-operators
no-unexpected-multiline
no-unreachable
no-unsafe-finally
no-unsafe-negation
no-unsafe-optional-chaining
valid-typeof
use-isnan
no-undef
no-undef-init
no-shadow
no-shadow-restricted-names
no-delete-var
no-label-var
no-restricted-globals
no-restricted-properties
no-restricted-syntax
no-void
no-with
no-warning-comments
no-useless-escape
no-useless-return
no-useless-rename
no-useless-constructor
no-useless-computed-key
no-useless-call
no-useless-catch
no-useless-backreference
no-unused-expressions
no-unused-labels
no-unused-private-class-members
no-unreachable-loop
no-unneeded-ternary
no-unmodified-loop-condition
no-undefined
no-useless-concat
one-var
operator-assignment
prefer-destructuring
prefer-exponentiation-operator
prefer-named-capture-group
prefer-numeric-literals
prefer-object-has-own
prefer-object-spread
prefer-promise-reject-errors
prefer-regex-literals
prefer-rest-params
prefer-spread
radix
require-atomic-updates
require-await
require-unicode-regexp
require-yield
sort-imports
sort-keys
sort-vars
strict
symbol-description
unicode-bom
vars-on-top
yoda",
3.4.1 Imports,Import statements must not be line wrapped and are therefore an exception to the 80-column limit.,"max-len: ['error', {'code': 80, 'ignorePattern': 'OurSetDefault'}]","max-len: ['error', {'code': 80, 'tabWidth': 'OurSetDefault', 'comments': 'OurSetDefault', 'ignoreTrailingComments': 'OurSetDefault', 'ignorePattern': 'OurSetDefault', 'ignoreComments': 'OurSetDefault', 'ignoreUrls': 'OurSetDefault', 'ignoreStrings': 'OurSetDefault', 'ignoreTemplateLiterals': 'OurSetDefault', 'ignoreRegExpLiterals': 'OurSetDefault'}]",Yes,"max-len: ['error', {'code': 80, 'ignorePattern': '^import\\s.+\\sfrom\\s.+;$'}]",true,max-len,,,max-len,,,max-len,,
3.4.1.1 Import paths,"ES module files must use the `import` statement to import other ES module files. Do not `goog.require` another ES module.
 import './sideeffects.js';
 
 import * as goog from '../closure/goog/goog.js';
 import * as parent from '../parent.js';
 
 import {name} from './sibling.js';","no-restricted-syntax: [{'selector': 'CallExpression[callee.object.name=""goog""][callee.property.name=""require""]', 'message': 'OurSetDefault'}]","no-restricted-syntax: [{'selector': 'CallExpression[callee.object.name=""goog""][callee.property.name=""require""]', 'message': 'OurSetDefault'}]",Yes,"no-restricted-syntax: ['error', {'selector': ""CallExpression[callee.object.name='goog'][callee.property.name='require']"", 'message': 'Do not use goog.require to import ES modules.'}]
no-duplicate-imports: error
import/no-unresolved: ['error', {'commonjs': True, 'caseSensitive': True}]
import/extensions: ['error', 'ignorePackages', {'js': 'always', 'mjs': 'always', 'jsx': 'always'}]",true,no-restricted-syntax,"no-duplicate-imports
import/no-unresolved
import/extensions",,,"no-restricted-syntax
no-duplicate-imports
import/no-unresolved
import/extensions",no-restricted-syntax,,"no-restricted-syntax
no-duplicate-imports
import/no-unresolved
import/extensions",no-restricted-syntax
3.4.1.1.1 File extensions in import paths,"The `.js` file extension is not optional in import paths and must always be included.
 import '../directory/file';
 
 import '../directory/file.js';",,,Yes,"import/extensions: ['error', 'always', {'js': 'always', 'jsx': 'never', 'ts': 'never', 'tsx': 'never'}]",true,,import/extensions,,,import/extensions,,,import/extensions,
3.4.1.2 Importing the same file multiple times,"Do not import the same file multiple times. This can make it hard to determine the aggregate imports of a file.
 // Imports have the same path, but since it doesn't align it can be hard to see.
 import {short} from './long/path/to/a/file.js';
 import {aLongNameThatBreaksAlignment} from './long/path/to/a/file.js';",no-duplicate-imports: error,no-duplicate-imports: [{'includeExports': False}],Yes,no-duplicate-imports: error,true,no-duplicate-imports,,,no-duplicate-imports,,,no-duplicate-imports,,
3.4.1.3.1 Naming module imports,"Module import names ( `import*asname` ) are `lowerCamelCase` names that are derived from the imported file name.
 import * as fileOne from '../file-one.js';
 import * as fileTwo from '../file_two.js';
 import * as fileThree from '../filethree.js';
 
 import * as libString from './lib/string.js';
 import * as math from './math/math.js';
 import * as vectorMath from './vector/math.js';","camelcase: ['error', {'ignoreImports': False}]","camelcase: ['error', {'properties': 'OurSetDefault', 'ignoreDestructuring': 'OurSetDefault', 'ignoreImports': False, 'ignoreGlobals': 'OurSetDefault', 'allow': 'OurSetDefault'}]",Yes,"camelcase: ['error', {'properties': 'never', 'ignoreImports': False}]
id-match: ['error', '^[a-z][a-zA-Z0-9]*$', {'onlyDeclarations': False, 'properties': False}]",true,camelcase,id-match,,camelcase,id-match,,camelcase,id-match,
3.4.1.3.2 Naming default imports,"Default import names are derived from the imported file name and follow the rules in ?? .
 import MyClass from '../my-class.js';
 import myFunction from '../my_function.js';
 import SOME_CONSTANT from '../someconstant.js';
 
 Note: In general this should not happen as default exports are banned by this style guide, see ?? . Default imports are only used to import modules that do not conform to this style guide.",,,Yes,"camelcase: ['error', {'properties': 'never'}]
id-match: ['error', '^[a-zA-Z_$][a-zA-Z0-9_$]*$']",true,,"camelcase
id-match",,,"camelcase
id-match",,,"camelcase
id-match",
3.4.1.3.3 Naming named imports,"In general symbols imported via the named import ( `import{name}` ) should keep the same name. Avoid aliasing imports ( `import{SomeThingasSomeOtherThing}` ). Prefer fixing name collisions by using a module import ( `import*` ) or renaming the exports themselves.
 import * as bigAnimals from './biganimals.js';
 import * as domesticatedAnimals from './domesticatedanimals.js';
 
 new bigAnimals.Cat();
 new domesticatedAnimals.Cat();
 
 If renaming a named import is needed then use components of the imported module's file name or path in the resulting alias.
 import {Cat as BigCat} from './biganimals.js';
 import {Cat as DomesticatedCat} from './domesticatedanimals.js';
 
 new BigCat();
 new DomesticatedCat();",no-useless-rename: error,"no-useless-rename: [{'ignoreImport': False, 'ignoreExport': 'OurSetDefault', 'ignoreDestructuring': 'OurSetDefault'}]",Yes,"no-duplicate-imports: error
no-restricted-imports: ['error', {'patterns': [{'group': ['* as *'], 'message': 'Avoid aliasing imports. Prefer fixing name collisions by using a module import or renaming the exports themselves.'}]}]
no-useless-rename: ['error', {'ignoreImport': True}]",true,no-useless-rename,"no-duplicate-imports
no-restricted-imports",,,"no-duplicate-imports
no-restricted-imports
no-useless-rename",no-useless-rename,,"no-duplicate-imports
no-restricted-imports
no-useless-rename",no-useless-rename
3.4.2 Exports,Symbols are only exported if they are meant to be used outside the module. Non-exported module-local symbols are not declared `@private` nor do their names end with an underscore. There is no prescribed ordering for exported and module-local symbols.,,,Yes,"no-underscore-dangle: ['error', {'allowAfterThis': False, 'allowAfterSuper': False, 'enforceInMethodNames': True}]
no-unused-vars: ['error', {'vars': 'all', 'args': 'after-used', 'ignoreRestSiblings': True}]
no-restricted-exports: ['error', {'restrictedNamedExports': ['default', 'then']}]",true,,"no-underscore-dangle
no-unused-vars
no-restricted-exports",,,"no-underscore-dangle
no-unused-vars
no-restricted-exports",,,"no-underscore-dangle
no-unused-vars
no-restricted-exports",
3.4.2.1 Named vs default exports,"Use named exports in all code. You can apply the `export` keyword to a declaration, or use the `export{name};` syntax.
 Do not use default exports. Importing modules must give a name to these values, which can lead to inconsistencies in naming across modules.
 // Do not use default exports:
 export default class Foo { ... } // BAD!
 
 // Use named exports:
 export class Foo { ... }
 
 // Alternate style named exports:
 class Foo { ... }
 
 export {Foo};","no-restricted-exports: ['error', {'restrictDefaultExports': {'direct': True}}]","no-restricted-exports: [{'restrictedNamedExports': [], 'restrictDefaultExports': {'direct': True, 'named': False, 'defaultFrom': True, 'namedFrom': False, 'namespaceFrom': True}}]",Yes,"import/no-default-export: error
import/prefer-default-export: off",true,,"import/no-default-export
import/prefer-default-export",no-restricted-exports,,"import/no-default-export
import/prefer-default-export",no-restricted-exports,,"import/no-default-export
import/prefer-default-export",no-restricted-exports
3.4.2.2 Exporting static container classes and objects,"Do not export container classes or objects with static methods or properties for the sake of namespacing.
 // container.js
 // Bad: Container is an exported class that has only static methods and fields.
 export class Container {
  /** @return {number} */
  static bar() {
  return 1;
  }
 }
 
 /** @const {number} */
 Container.FOO = 1;
 
 Instead, export individual constants and functions:
 /** @return {number} */
 export function bar() {
  return 1;
 }
 
 export const /** number */ FOO = 1;",,,Yes,"no-restricted-syntax: ['error', {'selector': 'ClassDeclaration[superClass=null] > ClassBody > MethodDefinition[static=true]', 'message': 'Do not export container classes or objects with static methods or properties for the sake of namespacing.'}, {'selector': 'ClassDeclaration[superClass=null] > ClassBody > PropertyDefinition[static=true]', 'message': 'Do not export container classes or objects with static methods or properties for the sake of namespacing.'}]",true,,no-restricted-syntax,,,no-restricted-syntax,,,no-restricted-syntax,
3.4.2.3 Mutability of exports,"Exported variables must not be mutated outside of module initialization.
 There are alternatives if mutation is needed, including exporting a constant reference to an object that has mutable fields or exporting accessor functions for mutable data.
 // Bad: both foo and mutateFoo are exported and mutated.
 export let /** number */ foo = 0;
 
 /**
  * Mutates foo.
  */
 export function mutateFoo() {
  ++foo;
 }
 
 /**
  * @param {function(number): number} newMutateFoo
  */
 export function setMutateFoo(newMutateFoo) {
  // Exported classes and functions can be mutated!
  mutateFoo = () => {
  foo = newMutateFoo(foo);
  };
 }
 
 // Good: Rather than export the mutable variables foo and mutateFoo directly,
 // instead make them module scoped and export a getter for foo and a wrapper for
 // mutateFooFunc.
 let /** number */ foo = 0;
 let /** function(number): number */ mutateFooFunc = foo => foo + 1;
 
 /** @return {number} */
 export function getFoo() {
  return foo;
 }
 
 export function mutateFoo() {
  foo = mutateFooFunc(foo);
 }
 
 /** @param {function(number): number} mutateFoo */
 export function setMutateFoo(mutateFoo) {
  mutateFooFunc = mutateFoo;
 }",,,Yes,"no-param-reassign: ['error', {'props': True}]
no-const-assign: error
no-class-assign: error
no-import-assign: error
no-func-assign: error",true,,"no-param-reassign
no-const-assign
no-class-assign
no-import-assign
no-func-assign",,,"no-param-reassign
no-const-assign
no-class-assign
no-import-assign
no-func-assign",,,"no-param-reassign
no-const-assign
no-class-assign
no-import-assign
no-func-assign",
